id,N,D,C,E,I,K,F,P,S,V,APAAC3,APAAC4,APAAC5,APAAC6,APAAC10,APAAC19,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC2,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_SecondaryStrT13,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD1001,_PolarizabilityD2001,_SolventAccessibilityD1001,_SolventAccessibilityD2001,_SolventAccessibilityD2100,_SecondaryStrD2001,_SecondaryStrD3001,_ChargeD1001,_ChargeD1100,_ChargeD2001,_ChargeD3001,_ChargeD3075,_ChargeD3100,_PolarityD2001,_PolarityD3001,_NormalizedVDWVD1001,_NormalizedVDWVD2001,_HydrophobicityD1001,_HydrophobicityD1100,_HydrophobicityD2001,AP,RP,DI,DK,CL,CS,EI,IA,ID,IE,IK,LC,LP,KD,KE,KI,KF,FD,FE,PA,PR,PG,PP,PS,SC,SP,YI,VD,PAAC2,PAAC3,PAAC4,PAAC5,PAAC10,PAAC12,PAAC14,PAAC15,PAAC16,PAAC21,PAAC22,PAAC25,label
Negative_44,4.762,3.903,2.455,5.106,5.842,3.117,4.173,5.277,9.18,8.567,4.635,3.799,2.389,4.969,5.686,2.317,0.203,0.259,0.278,0.314,0.311,0.833,0.09,0.345,0.288,0.408,0.388,0.203,0.259,0.397,0.19,0.247,0.284,0.225,0.232,0.014,0.146,0.219,0.161,0.183,0.049,0.123,0.074,0.295,99.975,0.049,0.172,0.466,99.435,0.025,0.295,73.76,99.951,0.049,0.295,0.049,0.123,0.295,99.975,0.049,0.44,0.12,0.22,0.12,0.25,0.22,0.32,0.2,0.17,0.29,0.1,0.12,0.69,0.17,0.2,0.12,0.12,0.25,0.05,0.34,0.29,0.54,0.37,0.39,0.47,0.54,0.22,0.29,2.429,2.533,2.076,1.306,3.108,1.658,2.22,2.807,4.883,4.7,4.559,4.71,0
Positive_69,6.941,4.121,5.206,9.328,5.423,6.074,4.555,3.254,5.857,8.026,6.256,3.714,4.692,8.407,4.888,3.128,0.234,0.338,0.228,0.349,0.28,0.761,0.134,0.284,0.36,0.377,0.388,0.234,0.338,0.341,0.257,0.304,0.213,0.254,0.2,0.028,0.207,0.257,0.209,0.215,1.952,0.434,0.868,0.434,99.566,0.868,1.085,0.651,99.566,0.217,2.169,62.473,98.915,1.952,0.434,1.952,0.434,0.434,99.566,1.952,0.0,0.22,0.43,0.22,0.65,0.43,0.0,0.43,0.0,0.22,0.43,0.0,0.0,0.22,0.43,0.43,0.43,0.0,0.65,0.22,0.0,0.43,0.0,0.0,0.87,0.22,0.0,0.87,2.23,3.568,2.118,2.676,2.787,3.122,2.341,1.672,3.01,5.065,5.078,5.076,1
Negative_995,7.692,4.274,1.709,6.838,5.128,5.128,3.419,5.983,8.547,6.838,6.328,3.516,1.406,5.626,4.219,1.406,0.231,0.325,0.274,0.256,0.325,0.786,0.111,0.299,0.35,0.359,0.41,0.231,0.325,0.342,0.259,0.259,0.216,0.233,0.233,0.034,0.155,0.233,0.233,0.181,1.709,3.419,4.274,3.419,95.726,4.274,1.709,11.111,91.453,0.855,6.838,42.735,94.017,1.709,3.419,1.709,3.419,3.419,95.726,1.709,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,1.72,0.0,0.86,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,2.655,3.983,2.213,0.885,2.655,2.655,1.77,3.098,4.426,4.692,4.632,4.285,0
Positive_848,2.946,5.116,1.24,5.426,4.186,5.271,4.806,10.078,4.341,5.891,2.091,3.631,0.88,3.851,2.971,3.191,0.293,0.307,0.274,0.276,0.307,0.763,0.105,0.349,0.333,0.412,0.295,0.293,0.307,0.42,0.22,0.253,0.23,0.21,0.255,0.031,0.161,0.191,0.168,0.158,0.62,0.31,0.93,0.465,99.69,4.031,0.31,0.465,99.07,0.155,11.318,74.884,99.69,0.31,0.465,0.31,3.411,0.465,99.69,0.31,0.78,0.78,0.31,0.16,0.31,0.0,0.16,0.0,0.31,0.31,0.16,0.31,1.4,0.16,0.78,0.16,0.16,0.62,0.16,0.47,1.09,1.71,1.09,0.47,0.16,0.31,0.0,0.16,3.87,1.442,2.504,0.607,2.049,2.58,2.352,4.933,2.125,4.983,5.068,5.073,1
Positive_552,8.612,7.656,0.478,4.785,13.397,9.569,2.871,6.22,3.349,6.22,11.953,10.626,0.663,6.641,18.594,5.313,0.258,0.349,0.211,0.321,0.349,0.766,0.124,0.244,0.364,0.325,0.416,0.258,0.349,0.297,0.245,0.346,0.144,0.192,0.221,0.038,0.212,0.298,0.188,0.274,0.957,1.435,0.957,1.914,100.0,4.306,0.957,3.349,100.0,0.478,5.742,80.861,97.608,0.957,1.914,0.957,1.914,1.914,100.0,0.957,0.48,0.0,1.44,1.44,0.0,0.48,0.48,0.48,0.96,0.48,1.92,0.0,0.48,0.96,0.0,1.44,0.48,0.96,0.0,0.48,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.726,4.359,3.875,0.242,6.78,4.843,1.453,3.148,1.695,4.934,5.279,4.401,1
Negative_949,3.061,4.082,1.701,6.463,3.741,5.102,3.061,8.844,6.122,6.122,2.731,3.641,1.517,5.765,3.337,2.731,0.241,0.32,0.272,0.248,0.279,0.776,0.105,0.327,0.347,0.384,0.374,0.241,0.32,0.384,0.249,0.253,0.242,0.201,0.212,0.01,0.167,0.249,0.195,0.191,3.401,0.68,2.721,0.68,99.66,4.082,1.02,1.361,90.136,0.34,14.286,79.592,98.639,1.02,0.68,1.02,0.68,0.68,99.66,1.02,1.37,0.68,0.0,0.0,0.0,0.34,0.68,0.0,0.68,0.34,0.0,0.0,0.34,0.0,0.34,0.0,0.0,0.34,0.0,0.68,1.71,0.68,0.0,0.68,0.0,0.34,0.0,0.0,3.455,1.555,2.073,0.864,1.9,2.591,1.555,4.492,3.109,4.896,4.787,4.916,0
Positive_106,3.237,4.317,1.799,5.755,5.036,5.396,2.518,3.957,8.273,10.432,2.901,3.868,1.612,5.157,4.513,0.644,0.205,0.266,0.241,0.281,0.288,0.784,0.101,0.381,0.281,0.442,0.353,0.205,0.266,0.403,0.155,0.209,0.235,0.231,0.209,0.04,0.126,0.177,0.141,0.155,1.439,2.158,1.439,1.079,99.64,3.597,1.799,1.079,99.64,0.36,10.072,83.094,95.683,1.439,0.719,1.439,2.158,1.079,99.64,0.719,1.08,0.0,0.72,0.72,0.36,0.36,0.0,0.72,0.36,0.36,0.36,0.72,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.36,0.36,0.72,0.0,0.72,0.0,1.08,0.36,0.36,3.145,1.665,2.22,0.925,2.59,2.775,1.295,2.035,4.255,4.446,4.832,5.084,1
Positive_185,3.168,7.129,1.98,6.931,6.931,7.723,5.347,4.95,7.723,4.752,3.631,8.171,2.269,7.944,7.944,4.085,0.267,0.335,0.275,0.279,0.271,0.745,0.141,0.273,0.362,0.364,0.368,0.267,0.335,0.337,0.244,0.31,0.19,0.256,0.242,0.026,0.232,0.31,0.188,0.26,0.396,0.594,0.396,0.594,99.604,0.792,0.396,12.475,99.406,0.198,0.594,77.228,99.604,0.396,0.594,0.396,0.594,0.594,99.604,0.396,0.0,0.2,0.79,0.6,0.2,0.0,0.79,0.2,0.4,0.4,0.99,0.0,0.0,0.4,0.4,0.2,0.6,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.0,0.6,0.2,0.6,1.943,1.636,3.682,1.023,3.58,3.989,2.762,2.557,3.989,5.279,4.892,4.85,1
Positive_725,2.588,5.36,1.109,7.394,4.436,4.251,4.621,3.327,7.579,7.024,1.991,4.123,0.853,5.688,3.412,2.844,0.259,0.292,0.242,0.261,0.29,0.763,0.128,0.335,0.322,0.399,0.342,0.259,0.292,0.401,0.191,0.254,0.211,0.241,0.219,0.031,0.183,0.22,0.17,0.185,0.555,0.37,0.739,7.763,98.891,1.109,0.37,7.763,98.891,0.185,8.133,75.97,98.336,0.37,7.763,0.37,0.739,7.763,98.891,0.37,0.37,0.37,0.19,0.37,0.0,0.0,0.0,0.37,0.37,0.74,0.0,0.0,0.74,0.56,0.19,0.37,0.19,0.19,0.74,0.37,0.0,0.19,0.37,0.19,0.0,0.37,0.0,0.19,3.308,1.287,2.665,0.551,2.205,2.113,2.297,1.654,3.768,5.021,5.068,4.942,1
Positive_63,1.766,5.519,2.87,5.077,0.883,0.883,4.194,7.064,6.623,9.272,1.683,5.259,2.735,4.838,0.841,0.631,0.188,0.236,0.205,0.223,0.311,0.808,0.106,0.406,0.263,0.49,0.322,0.188,0.236,0.439,0.137,0.254,0.208,0.208,0.301,0.018,0.168,0.177,0.113,0.155,0.442,0.662,0.442,1.325,99.779,0.662,0.442,1.325,94.923,0.221,6.402,69.978,99.779,0.442,1.325,0.442,0.662,1.325,99.779,0.442,0.88,0.22,0.0,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.44,0.88,0.0,0.0,0.0,0.0,0.66,0.0,0.88,0.44,0.66,0.44,0.44,0.0,0.22,0.0,0.22,3.886,0.888,2.776,1.444,0.444,0.444,2.11,3.553,3.331,4.806,4.701,4.859,1
