id,N,D,C,E,I,K,F,P,S,V,APAAC3,APAAC4,APAAC5,APAAC6,APAAC10,APAAC19,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC2,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_SecondaryStrT13,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD1001,_PolarizabilityD2001,_SolventAccessibilityD1001,_SolventAccessibilityD2001,_SolventAccessibilityD2100,_SecondaryStrD2001,_SecondaryStrD3001,_ChargeD1001,_ChargeD1100,_ChargeD2001,_ChargeD3001,_ChargeD3075,_ChargeD3100,_PolarityD2001,_PolarityD3001,_NormalizedVDWVD1001,_NormalizedVDWVD2001,_HydrophobicityD1001,_HydrophobicityD1100,_HydrophobicityD2001,AP,RP,DI,DK,CL,CS,EI,IA,ID,IE,IK,LC,LP,KD,KE,KI,KF,FD,FE,PA,PR,PG,PP,PS,SC,SP,YI,VD,PAAC2,PAAC3,PAAC4,PAAC5,PAAC10,PAAC12,PAAC14,PAAC15,PAAC16,PAAC21,PAAC22,PAAC25,label
Negative_126,1.837,6.299,1.312,9.974,1.575,4.462,1.837,13.911,8.399,6.299,1.064,3.649,0.76,5.779,0.913,0.0,0.181,0.333,0.304,0.168,0.381,0.724,0.163,0.428,0.352,0.504,0.315,0.181,0.333,0.446,0.166,0.263,0.171,0.166,0.316,0.021,0.258,0.155,0.095,0.15,0.525,0.787,0.525,1.05,99.475,3.15,1.837,1.05,98.95,0.262,1.575,66.667,98.688,0.525,1.05,0.525,0.787,1.05,99.475,0.525,0.79,1.32,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.26,0.79,0.53,0.26,0.0,0.0,0.0,0.26,1.84,1.32,1.05,1.58,1.84,0.0,2.37,0.0,0.0,3.582,0.964,3.306,0.689,0.827,2.342,0.964,7.301,4.408,5.044,4.28,4.7,0
Negative_5,2.708,6.458,2.083,7.083,4.792,7.917,3.333,3.333,8.125,6.458,2.855,6.809,2.196,7.468,5.052,3.734,0.279,0.358,0.237,0.233,0.256,0.723,0.135,0.229,0.39,0.315,0.406,0.279,0.358,0.296,0.228,0.29,0.177,0.225,0.261,0.048,0.203,0.299,0.207,0.24,0.417,0.833,0.625,0.833,98.75,1.042,0.417,3.75,98.75,0.208,0.833,63.75,96.042,0.417,0.833,0.417,0.833,0.833,98.75,0.417,0.21,0.21,0.21,0.21,0.63,0.0,0.21,0.0,0.63,0.21,0.0,0.63,0.42,0.42,1.04,0.42,0.21,0.21,0.0,0.21,0.0,0.0,0.21,0.42,0.21,0.21,0.0,0.42,3.08,1.334,3.182,1.026,2.361,3.901,1.642,1.642,4.004,4.92,4.962,5.253,0
Negative_195,4.082,2.857,7.755,7.755,2.041,5.714,2.041,6.531,4.49,6.531,3.427,2.399,6.511,6.511,1.714,0.685,0.245,0.351,0.2,0.241,0.245,0.735,0.106,0.298,0.388,0.404,0.351,0.245,0.351,0.343,0.246,0.299,0.225,0.184,0.234,0.02,0.168,0.225,0.18,0.193,0.816,2.857,0.816,2.449,100.0,2.041,0.816,11.429,100.0,0.408,2.449,85.714,96.735,0.816,2.449,0.816,2.857,2.449,100.0,0.816,0.82,0.82,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.0,0.0,0.0,0.41,0.82,0.82,0.0,0.41,0.0,0.41,0.41,0.0,0.0,5.007,2.003,1.402,3.805,1.001,2.804,1.001,3.205,2.203,4.715,5.172,5.14,0
Positive_155,3.289,5.263,1.974,8.553,6.579,6.579,5.263,3.947,4.605,9.211,4.288,6.862,2.574,11.151,8.578,3.432,0.276,0.322,0.204,0.309,0.27,0.743,0.138,0.27,0.349,0.342,0.382,0.276,0.322,0.322,0.258,0.318,0.172,0.265,0.252,0.04,0.205,0.272,0.219,0.225,1.316,1.974,1.316,1.974,100.0,2.632,1.974,3.947,84.211,0.658,3.289,81.579,100.0,1.316,1.974,1.316,1.974,1.974,100.0,1.316,0.0,0.66,0.0,0.0,0.0,0.0,1.32,0.66,0.0,0.0,1.32,0.0,0.0,0.66,1.32,0.0,0.66,0.0,0.66,0.66,0.0,0.66,0.0,0.0,0.66,0.0,0.0,1.32,2.526,1.579,2.526,0.948,3.158,3.158,2.526,1.895,2.211,5.067,5.741,5.244,1
Positive_49,12.234,1.596,1.064,10.638,9.043,12.234,4.787,0.532,4.787,3.723,13.511,1.763,1.175,11.748,9.987,7.637,0.298,0.41,0.213,0.33,0.234,0.745,0.122,0.197,0.426,0.223,0.479,0.298,0.41,0.282,0.283,0.358,0.134,0.305,0.262,0.053,0.182,0.342,0.262,0.289,2.66,1.064,1.596,1.064,100.0,3.723,1.064,2.128,100.0,0.532,2.66,63.83,90.426,4.787,1.064,2.66,1.064,1.064,100.0,4.787,0.0,0.0,0.0,0.53,0.0,0.0,1.07,0.53,0.53,1.07,1.6,0.0,0.0,0.53,2.14,1.07,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.549,6.308,0.823,0.549,4.663,6.308,2.468,0.274,2.468,4.795,4.911,4.95,1
Positive_221,3.059,4.971,3.633,7.266,6.119,6.119,4.589,4.971,9.178,4.207,2.605,4.232,3.093,6.186,5.21,2.605,0.245,0.34,0.272,0.272,0.273,0.765,0.122,0.312,0.367,0.398,0.358,0.245,0.34,0.369,0.218,0.266,0.211,0.239,0.234,0.027,0.192,0.243,0.188,0.205,0.574,0.382,0.765,0.382,99.809,5.545,0.574,5.163,97.132,0.191,0.382,75.908,99.809,0.574,0.382,0.574,0.382,0.382,99.809,0.574,0.57,0.0,0.57,0.19,0.38,0.38,0.57,0.19,0.77,0.57,0.38,0.77,0.0,0.0,0.19,0.77,0.19,0.38,0.38,0.96,0.19,0.38,0.38,0.19,0.19,0.57,0.19,0.0,2.7,1.6,2.6,1.9,3.2,3.2,2.4,2.6,4.8,4.78,5.033,4.521,1
Negative_119,1.327,4.204,3.097,4.646,1.77,3.319,1.549,9.956,7.743,7.522,1.069,3.388,2.496,3.744,1.426,1.248,0.192,0.268,0.294,0.23,0.292,0.816,0.088,0.381,0.296,0.454,0.354,0.192,0.268,0.425,0.18,0.217,0.239,0.226,0.239,0.016,0.135,0.188,0.129,0.153,1.327,0.664,0.664,0.442,100.0,0.664,1.106,0.442,100.0,0.221,4.425,63.053,98.673,1.106,0.442,1.106,0.664,0.442,100.0,1.106,0.67,0.44,0.0,0.22,0.67,0.0,0.0,0.0,0.22,0.22,0.0,0.22,0.67,0.0,0.22,0.22,0.0,0.22,0.0,0.22,0.67,0.67,0.89,1.33,0.22,2.0,0.0,0.67,3.32,0.711,2.253,1.66,0.949,1.779,0.83,5.336,4.15,4.483,4.591,4.765,0
Negative_73,3.042,5.323,0.76,4.563,4.183,5.323,4.563,9.506,6.844,6.084,3.634,6.36,0.908,5.452,4.998,2.271,0.213,0.304,0.259,0.255,0.361,0.795,0.099,0.422,0.312,0.483,0.304,0.213,0.304,0.449,0.183,0.305,0.225,0.225,0.244,0.015,0.16,0.221,0.153,0.195,1.521,0.76,1.901,0.76,99.62,2.281,1.521,4.943,93.156,0.38,0.76,50.951,92.015,1.521,0.76,1.521,0.76,0.76,99.62,1.521,1.15,0.38,0.38,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.76,0.38,0.38,0.0,0.76,0.0,0.0,0.38,0.0,1.15,0.76,1.53,1.53,0.76,0.0,0.0,0.38,0.38,2.688,1.536,2.688,0.384,2.112,2.688,2.304,4.801,3.456,5.328,4.633,5.184,0
Positive_135,2.694,6.397,1.347,6.902,6.902,6.734,2.02,5.387,3.03,10.101,2.695,6.4,1.348,6.905,6.905,2.19,0.189,0.279,0.195,0.276,0.288,0.769,0.133,0.382,0.3,0.46,0.352,0.189,0.279,0.424,0.165,0.3,0.189,0.223,0.243,0.025,0.224,0.211,0.137,0.18,0.337,0.505,0.337,0.842,100.0,0.673,1.515,1.178,100.0,0.168,0.842,69.529,98.822,0.337,0.842,0.337,0.505,0.842,100.0,0.337,1.35,0.0,0.84,0.67,0.34,0.0,0.0,0.67,0.51,0.34,0.17,0.0,0.34,0.17,0.67,0.51,0.0,0.51,0.17,0.51,0.17,0.51,0.17,0.17,0.0,0.17,0.0,0.67,1.58,1.404,3.335,0.702,3.598,3.511,1.053,2.808,1.58,4.848,4.822,4.89,1
Positive_192,5.263,7.121,0.619,7.585,6.811,8.359,3.715,3.87,5.418,7.121,3.462,4.685,0.407,4.99,4.481,1.528,0.221,0.367,0.22,0.282,0.299,0.726,0.147,0.325,0.378,0.402,0.376,0.221,0.367,0.359,0.174,0.299,0.184,0.24,0.254,0.048,0.198,0.231,0.157,0.214,0.31,0.774,0.619,0.464,100.0,1.084,0.31,0.464,94.272,0.155,1.548,80.65,100.0,0.31,0.464,0.31,1.084,0.464,100.0,0.31,0.31,0.16,0.62,1.4,0.0,0.0,0.62,0.78,0.62,0.93,0.16,0.0,0.0,0.47,0.93,0.62,0.16,0.93,0.62,0.47,0.16,0.62,0.31,0.31,0.16,0.0,0.0,0.31,2.247,2.729,3.693,0.321,3.532,4.334,1.926,2.007,2.809,4.729,5.082,4.796,1
