_PolarizabilityC1,_PolarizabilityC2,_PolarizabilityC3,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC1,_SecondaryStrC2,_SecondaryStrC3,_ChargeC1,_ChargeC2,_ChargeC3,_PolarityC1,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_HydrophobicityC3,_PolarizabilityT12,_PolarizabilityT13,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SolventAccessibilityT23,_SecondaryStrT12,_SecondaryStrT13,_SecondaryStrT23,_ChargeT12,_ChargeT13,_ChargeT23,_PolarityT12,_PolarityT13,_PolarityT23,_NormalizedVDWVT12,_NormalizedVDWVT13,_NormalizedVDWVT23,_HydrophobicityT12,_HydrophobicityT13,_HydrophobicityT23,_PolarizabilityD1001,_PolarizabilityD1025,_PolarizabilityD1050,_PolarizabilityD1075,_PolarizabilityD1100,_PolarizabilityD2001,_PolarizabilityD2025,_PolarizabilityD2050,_PolarizabilityD2075,_PolarizabilityD2100,_PolarizabilityD3001,_PolarizabilityD3025,_PolarizabilityD3050,_PolarizabilityD3075,_PolarizabilityD3100,_SolventAccessibilityD1001,_SolventAccessibilityD1025,_SolventAccessibilityD1050,_SolventAccessibilityD1075,_SolventAccessibilityD1100,_SolventAccessibilityD2001,_SolventAccessibilityD2025,_SolventAccessibilityD2050,_SolventAccessibilityD2075,_SolventAccessibilityD2100,_SolventAccessibilityD3001,_SolventAccessibilityD3025,_SolventAccessibilityD3050,_SolventAccessibilityD3075,_SolventAccessibilityD3100,_SecondaryStrD1001,_SecondaryStrD1025,_SecondaryStrD1050,_SecondaryStrD1075,_SecondaryStrD1100,_SecondaryStrD2001,_SecondaryStrD2025,_SecondaryStrD2050,_SecondaryStrD2075,_SecondaryStrD2100,_SecondaryStrD3001,_SecondaryStrD3025,_SecondaryStrD3050,_SecondaryStrD3075,_SecondaryStrD3100,_ChargeD1001,_ChargeD1025,_ChargeD1050,_ChargeD1075,_ChargeD1100,_ChargeD2001,_ChargeD2025,_ChargeD2050,_ChargeD2075,_ChargeD2100,_ChargeD3001,_ChargeD3025,_ChargeD3050,_ChargeD3075,_ChargeD3100,_PolarityD1001,_PolarityD1025,_PolarityD1050,_PolarityD1075,_PolarityD1100,_PolarityD2001,_PolarityD2025,_PolarityD2050,_PolarityD2075,_PolarityD2100,_PolarityD3001,_PolarityD3025,_PolarityD3050,_PolarityD3075,_PolarityD3100,_NormalizedVDWVD1001,_NormalizedVDWVD1025,_NormalizedVDWVD1050,_NormalizedVDWVD1075,_NormalizedVDWVD1100,_NormalizedVDWVD2001,_NormalizedVDWVD2025,_NormalizedVDWVD2050,_NormalizedVDWVD2075,_NormalizedVDWVD2100,_NormalizedVDWVD3001,_NormalizedVDWVD3025,_NormalizedVDWVD3050,_NormalizedVDWVD3075,_NormalizedVDWVD3100,_HydrophobicityD1001,_HydrophobicityD1025,_HydrophobicityD1050,_HydrophobicityD1075,_HydrophobicityD1100,_HydrophobicityD2001,_HydrophobicityD2025,_HydrophobicityD2050,_HydrophobicityD2075,_HydrophobicityD2100,_HydrophobicityD3001,_HydrophobicityD3025,_HydrophobicityD3050,_HydrophobicityD3075,_HydrophobicityD3100,id,label
0.274,0.436,0.291,0.444,0.353,0.202,0.453,0.305,0.242,0.117,0.721,0.162,0.385,0.251,0.365,0.322,0.387,0.291,0.353,0.291,0.356,0.229,0.154,0.246,0.286,0.157,0.143,0.274,0.237,0.146,0.137,0.04,0.251,0.206,0.251,0.2,0.249,0.191,0.209,0.211,0.217,0.229,0.57,20.513,50.427,73.219,99.715,1.14,26.496,50.142,75.783,98.86,0.285,24.786,48.718,71.225,100.0,0.57,30.484,54.986,76.638,100.0,0.855,20.798,45.584,74.644,99.715,0.285,15.954,41.026,68.661,98.575,0.285,23.362,49.003,74.644,99.43,6.268,31.624,53.561,77.493,100.0,0.57,14.53,42.165,69.516,99.715,1.709,20.798,47.293,64.387,94.872,0.285,26.781,51.852,75.783,100.0,0.855,19.373,43.59,74.644,99.715,0.285,30.769,54.986,77.493,100.0,0.57,18.803,49.003,70.085,99.43,0.855,21.083,44.729,74.074,99.715,0.57,19.943,48.433,70.085,99.715,1.425,29.345,53.276,76.923,98.86,0.285,24.786,48.718,71.225,100.0,0.855,20.798,45.584,74.644,99.715,0.57,20.513,46.439,66.952,99.43,0.285,31.624,56.125,77.493,100.0,Positive_821,1
0.289,0.441,0.271,0.413,0.337,0.251,0.431,0.293,0.277,0.11,0.772,0.118,0.375,0.261,0.365,0.329,0.401,0.271,0.337,0.313,0.351,0.259,0.153,0.235,0.301,0.213,0.161,0.255,0.253,0.167,0.185,0.028,0.177,0.197,0.283,0.179,0.261,0.171,0.217,0.213,0.249,0.227,0.802,20.04,44.088,73.747,100.0,1.002,24.649,51.303,74.549,99.399,0.2,32.866,52.305,76.353,99.8,1.002,25.651,49.299,73.948,98.998,0.401,23.046,48.497,74.148,99.8,0.2,27.655,52.104,76.954,100.0,0.2,26.253,52.305,75.351,99.8,2.004,30.261,51.703,76.353,98.798,0.802,18.236,42.685,70.341,100.0,0.401,34.068,53.707,77.756,99.8,0.2,25.852,50.301,74.749,100.0,5.21,15.631,37.074,67.936,96.393,0.2,27.655,51.703,74.749,98.798,0.802,21.242,49.699,76.954,100.0,0.401,23.647,48.297,72.545,99.8,0.802,20.04,47.094,74.349,100.0,1.002,24.85,49.9,74.148,99.198,0.2,32.866,52.305,76.353,99.8,0.401,23.046,48.497,74.148,99.8,0.601,22.244,48.697,74.95,100.0,0.2,27.455,53.307,75.551,98.798,Positive_416,1
0.23,0.506,0.264,0.575,0.115,0.31,0.391,0.345,0.264,0.034,0.92,0.046,0.552,0.299,0.149,0.402,0.333,0.264,0.115,0.379,0.506,0.209,0.128,0.233,0.07,0.326,0.116,0.244,0.209,0.163,0.035,0.012,0.081,0.302,0.081,0.151,0.256,0.221,0.14,0.128,0.058,0.372,22.989,40.23,68.966,89.655,100.0,3.448,16.092,48.276,70.115,97.701,1.149,25.287,35.632,63.218,91.954,3.448,24.138,52.874,66.667,98.851,5.747,17.241,45.977,73.563,93.103,1.149,21.839,40.23,81.609,100.0,1.149,17.241,42.529,59.77,91.954,2.299,26.437,52.874,70.115,100.0,10.345,21.839,68.966,85.057,98.851,17.241,47.126,17.241,45.977,47.126,1.149,24.138,50.575,73.563,100.0,44.828,44.828,82.759,88.506,93.103,1.149,19.54,42.529,65.517,97.701,10.345,27.586,59.77,85.057,100.0,5.747,20.69,45.977,79.31,93.103,3.448,29.885,60.92,83.908,100.0,4.598,13.793,42.529,62.069,97.701,1.149,25.287,35.632,63.218,91.954,5.747,17.241,45.977,73.563,93.103,2.299,28.736,59.77,83.908,100.0,1.149,19.54,42.529,64.368,97.701,Negative_133,0
0.341,0.333,0.326,0.174,0.348,0.478,0.464,0.181,0.355,0.188,0.797,0.014,0.152,0.413,0.435,0.457,0.217,0.326,0.348,0.507,0.145,0.255,0.241,0.161,0.124,0.182,0.38,0.197,0.336,0.08,0.277,0.0,0.029,0.109,0.161,0.416,0.234,0.307,0.095,0.38,0.124,0.146,1.449,19.565,39.13,55.072,99.275,2.899,18.841,51.449,72.464,100.0,0.725,30.435,62.319,82.609,98.551,5.797,23.913,48.551,80.435,97.826,1.449,28.261,60.145,82.609,100.0,0.725,19.565,43.478,62.319,99.275,0.725,27.536,58.696,79.71,98.551,2.174,18.116,26.812,72.464,97.826,1.449,31.159,46.377,63.043,100.0,17.391,41.304,75.362,84.058,98.551,0.725,21.739,44.928,67.391,100.0,1.449,79.71,1.449,1.449,79.71,0.725,18.841,67.391,78.986,97.826,2.174,24.638,43.478,57.246,99.275,1.449,27.536,57.971,78.261,100.0,1.449,21.739,42.754,61.594,99.275,2.899,14.493,50.0,78.261,100.0,0.725,30.435,62.319,82.609,98.551,1.449,28.261,60.145,82.609,100.0,2.174,23.188,44.203,61.594,99.275,0.725,18.841,67.391,78.986,97.826,Negative_913,0
0.33,0.42,0.25,0.451,0.284,0.265,0.492,0.235,0.273,0.113,0.783,0.104,0.328,0.344,0.328,0.399,0.351,0.25,0.284,0.414,0.302,0.274,0.178,0.214,0.244,0.216,0.145,0.216,0.283,0.106,0.171,0.03,0.15,0.224,0.216,0.221,0.267,0.214,0.178,0.212,0.177,0.242,0.353,25.926,55.732,79.894,99.824,0.529,22.575,46.384,69.312,98.589,0.176,25.75,47.795,71.781,100.0,0.353,22.399,47.972,73.192,98.236,3.88,24.691,43.739,73.016,99.471,0.176,30.335,58.377,82.892,100.0,0.176,24.691,47.443,72.84,100.0,1.764,22.575,50.617,75.838,99.647,0.529,27.513,53.616,79.365,99.824,4.409,24.162,43.739,66.667,99.471,0.176,24.515,50.617,75.661,100.0,4.056,26.102,44.974,74.427,96.12,0.176,20.635,43.563,67.372,98.236,0.353,30.335,57.319,80.952,99.824,1.235,25.22,47.09,76.19,100.0,0.353,29.453,56.614,79.718,99.824,0.705,21.693,43.21,69.312,98.589,0.176,25.75,47.795,71.781,100.0,3.88,24.691,43.739,73.016,99.471,0.353,30.335,57.496,81.834,100.0,0.176,19.753,43.563,65.079,98.236,Positive_884,1
0.287,0.539,0.174,0.387,0.294,0.319,0.496,0.135,0.369,0.103,0.762,0.135,0.277,0.426,0.298,0.486,0.34,0.174,0.294,0.454,0.252,0.295,0.125,0.142,0.238,0.235,0.11,0.128,0.367,0.089,0.125,0.039,0.217,0.246,0.174,0.181,0.335,0.153,0.114,0.196,0.153,0.246,0.709,17.73,36.525,72.34,99.645,1.064,28.723,48.582,68.085,100.0,0.355,35.816,71.631,81.206,99.291,1.064,15.957,36.879,62.411,100.0,3.546,38.298,74.113,85.461,99.291,0.355,29.787,46.809,65.957,99.645,0.355,26.95,57.092,81.206,99.291,2.128,23.404,54.965,79.787,100.0,0.709,22.695,45.39,64.539,99.645,4.61,69.504,77.66,87.943,99.291,0.355,21.986,46.099,67.73,100.0,3.546,24.468,52.837,82.979,95.745,0.355,16.667,40.78,62.057,100.0,0.709,21.277,45.035,66.312,99.645,3.546,39.007,74.113,85.461,99.291,0.709,21.986,45.035,66.312,100.0,1.064,25.177,53.191,82.27,98.227,0.355,35.816,71.631,81.206,99.291,3.546,38.298,74.113,85.461,99.291,0.709,21.277,45.745,67.376,99.645,0.355,16.667,38.652,58.156,100.0,Positive_996,1
0.342,0.466,0.192,0.302,0.355,0.344,0.421,0.203,0.376,0.097,0.802,0.101,0.236,0.394,0.369,0.446,0.362,0.192,0.355,0.436,0.209,0.253,0.132,0.174,0.179,0.2,0.203,0.154,0.303,0.165,0.133,0.037,0.123,0.176,0.154,0.236,0.282,0.166,0.139,0.256,0.126,0.175,0.246,26.478,50.0,71.552,99.384,0.369,26.97,58.498,77.956,99.754,0.123,21.798,35.714,66.626,100.0,0.616,25.616,53.818,75.493,100.0,0.369,17.118,35.345,65.64,99.877,0.123,36.946,59.606,78.818,99.015,0.123,18.596,40.394,69.458,99.877,1.355,28.202,55.172,79.557,100.0,0.246,31.527,54.31,75.123,99.384,3.695,14.655,29.803,41.256,99.877,0.123,31.034,58.251,79.31,100.0,0.369,10.837,22.167,36.084,70.32,0.123,25.246,53.941,78.941,100.0,0.246,41.502,58.251,77.094,99.384,0.369,17.611,35.222,65.394,99.877,0.246,32.02,55.049,75.369,99.384,0.369,21.429,47.906,75.985,99.754,0.123,21.798,35.714,66.626,100.0,0.369,17.118,35.345,65.64,99.877,0.246,37.685,58.128,77.956,99.384,0.123,24.384,49.877,77.217,100.0,Negative_115,0
0.328,0.436,0.236,0.479,0.287,0.234,0.394,0.358,0.249,0.091,0.768,0.141,0.385,0.306,0.308,0.373,0.391,0.236,0.287,0.357,0.357,0.295,0.135,0.211,0.233,0.234,0.128,0.267,0.184,0.155,0.127,0.024,0.19,0.241,0.202,0.177,0.296,0.152,0.193,0.201,0.159,0.273,0.822,25.899,52.107,77.698,99.897,0.308,24.974,50.257,73.587,99.692,0.103,24.563,45.324,73.073,100.0,0.719,23.947,52.621,80.678,100.0,0.308,30.935,48.304,69.99,99.794,0.103,17.883,47.276,72.97,99.589,0.103,27.749,47.996,72.251,99.794,0.206,22.508,49.846,77.39,100.0,0.308,24.974,51.49,76.053,99.897,0.514,27.441,41.932,68.14,99.794,0.103,22.919,50.565,77.595,100.0,3.186,32.169,50.154,69.99,99.178,0.103,22.405,49.743,79.445,100.0,0.822,22.199,53.032,77.801,99.897,0.308,30.73,48.51,69.99,99.794,0.822,24.46,52.21,78.006,99.897,0.308,25.385,50.051,73.381,99.692,0.103,24.563,45.324,73.073,100.0,0.308,30.935,48.304,69.99,99.794,0.206,22.199,51.901,77.698,99.897,0.103,22.405,50.462,79.445,100.0,Positive_490,1
0.298,0.439,0.263,0.424,0.298,0.278,0.43,0.272,0.298,0.086,0.817,0.097,0.371,0.296,0.333,0.351,0.386,0.263,0.298,0.366,0.336,0.239,0.177,0.223,0.237,0.239,0.17,0.212,0.265,0.173,0.142,0.022,0.137,0.252,0.248,0.186,0.259,0.21,0.19,0.21,0.197,0.25,0.442,23.179,45.916,75.276,99.117,0.662,22.737,48.344,73.289,100.0,0.221,26.49,55.188,77.042,99.338,0.662,23.62,48.344,76.38,100.0,1.545,21.413,48.124,75.938,99.779,0.221,29.139,53.642,71.744,99.338,0.221,23.179,51.214,73.289,100.0,0.662,26.269,49.007,79.691,99.558,0.442,24.062,48.124,72.406,99.779,8.168,25.166,55.85,77.483,94.481,0.221,24.503,49.448,74.172,100.0,3.974,15.232,45.695,77.704,98.013,0.221,27.152,50.773,76.38,100.0,0.442,23.62,49.669,72.406,99.117,1.545,22.517,48.565,73.951,99.779,0.442,22.296,47.241,73.951,99.558,0.662,24.283,48.124,74.172,100.0,0.221,26.49,55.188,77.042,99.338,1.545,21.413,48.124,75.938,99.779,0.442,24.503,51.214,71.965,99.338,0.221,27.152,50.773,76.159,100.0,Positive_854,1
0.317,0.409,0.274,0.404,0.327,0.269,0.572,0.149,0.279,0.188,0.736,0.077,0.255,0.394,0.351,0.438,0.288,0.274,0.327,0.423,0.25,0.285,0.155,0.188,0.29,0.246,0.097,0.145,0.275,0.106,0.208,0.034,0.111,0.227,0.193,0.222,0.256,0.193,0.15,0.222,0.164,0.246,0.962,29.808,58.654,75.0,100.0,1.442,29.327,50.0,73.558,98.558,0.481,16.827,32.212,69.712,98.077,0.962,26.442,56.25,76.442,100.0,1.442,27.885,43.75,83.654,97.596,0.481,22.115,48.077,68.269,99.038,0.481,21.154,45.673,80.769,98.558,2.885,25.481,42.308,70.192,99.038,0.962,31.731,54.327,72.596,100.0,8.173,19.712,36.058,85.096,96.635,0.481,25.0,50.962,73.558,100.0,1.442,37.5,53.846,67.308,97.596,0.481,16.827,43.269,70.192,98.558,0.962,25.962,58.173,74.038,100.0,1.442,24.519,40.865,76.923,97.596,0.962,28.846,57.692,74.519,100.0,1.442,30.769,50.0,76.923,98.558,0.481,16.827,32.212,69.712,98.077,1.442,27.885,43.75,83.654,97.596,0.962,25.962,55.769,73.558,100.0,0.481,16.827,44.712,71.635,98.558,Negative_617,0
