id,D,C,I,K,P,_SolventAccessibilityC3,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,PAAC4,PAAC5,PAAC10,PAAC15,label
Negative_44,3.903,2.455,5.842,3.117,5.277,0.278,0.09,0.345,0.408,0.388,0.397,0.247,0.146,0.219,0.161,0.183,2.076,1.306,3.108,2.807,0
Positive_69,4.121,5.206,5.423,6.074,3.254,0.228,0.134,0.284,0.377,0.388,0.341,0.304,0.207,0.257,0.209,0.215,2.118,2.676,2.787,1.672,1
Negative_995,4.274,1.709,5.128,5.128,5.983,0.274,0.111,0.299,0.359,0.41,0.342,0.259,0.155,0.233,0.233,0.181,2.213,0.885,2.655,3.098,0
Positive_848,5.116,1.24,4.186,5.271,10.078,0.274,0.105,0.349,0.412,0.295,0.42,0.253,0.161,0.191,0.168,0.158,2.504,0.607,2.049,4.933,1
Positive_552,7.656,0.478,13.397,9.569,6.22,0.211,0.124,0.244,0.325,0.416,0.297,0.346,0.212,0.298,0.188,0.274,3.875,0.242,6.78,3.148,1
Negative_949,4.082,1.701,3.741,5.102,8.844,0.272,0.105,0.327,0.384,0.374,0.384,0.253,0.167,0.249,0.195,0.191,2.073,0.864,1.9,4.492,0
Positive_106,4.317,1.799,5.036,5.396,3.957,0.241,0.101,0.381,0.442,0.353,0.403,0.209,0.126,0.177,0.141,0.155,2.22,0.925,2.59,2.035,1
Positive_185,7.129,1.98,6.931,7.723,4.95,0.275,0.141,0.273,0.364,0.368,0.337,0.31,0.232,0.31,0.188,0.26,3.682,1.023,3.58,2.557,1
Positive_725,5.36,1.109,4.436,4.251,3.327,0.242,0.128,0.335,0.399,0.342,0.401,0.254,0.183,0.22,0.17,0.185,2.665,0.551,2.205,1.654,1
Positive_63,5.519,2.87,0.883,0.883,7.064,0.205,0.106,0.406,0.49,0.322,0.439,0.254,0.168,0.177,0.113,0.155,2.776,1.444,0.444,3.553,1
Negative_162,4.167,2.519,2.422,3.779,6.492,0.212,0.156,0.321,0.388,0.401,0.351,0.328,0.211,0.238,0.177,0.221,2.016,1.219,1.172,3.14,0
Negative_440,8.485,3.636,4.242,3.03,5.455,0.2,0.176,0.279,0.4,0.436,0.309,0.268,0.238,0.244,0.11,0.207,4.418,1.893,2.209,2.84,0
Positive_928,2.56,2.259,10.09,4.217,4.066,0.264,0.074,0.328,0.377,0.378,0.38,0.161,0.11,0.158,0.193,0.133,1.389,1.225,5.474,2.206,1
Positive_856,6.0,0.0,6.0,9.0,2.5,0.165,0.12,0.31,0.37,0.4,0.335,0.347,0.181,0.251,0.171,0.236,2.895,0.0,2.895,1.206,1
Negative_883,4.589,2.294,4.78,4.78,6.31,0.294,0.084,0.344,0.413,0.342,0.407,0.213,0.132,0.218,0.159,0.172,2.404,1.202,2.504,3.305,0
Negative_130,1.437,2.053,11.088,3.696,5.544,0.263,0.057,0.341,0.376,0.409,0.396,0.144,0.078,0.138,0.183,0.109,0.806,1.152,6.223,3.111,0
Positive_334,5.109,2.19,5.839,6.204,4.745,0.245,0.128,0.296,0.369,0.431,0.336,0.322,0.198,0.278,0.158,0.256,2.68,1.149,3.063,2.489,1
