APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,APAAC33,APAAC34,APAAC35,APAAC36,APAAC37,APAAC38,APAAC39,APAAC40,id,label
4.135,5.513,5.857,4.135,2.068,8.958,4.48,5.169,2.412,4.48,8.958,6.892,4.48,3.79,4.824,9.303,3.101,2.412,5.169,7.925,-0.989,-1.561,-3.278,-3.538,6.4,10.042,1.145,4.214,-4.37,-3.798,0.156,-1.613,2.445,1.457,-6.92,-5.827,-0.52,-1.405,-0.156,4.058,Positive_677,1
6.556,2.185,6.556,3.642,4.37,6.556,2.185,5.098,4.37,5.098,3.642,3.642,1.457,2.913,0.0,4.37,6.556,2.185,3.642,9.469,2.281,-0.76,-4.225,-4.901,7.351,1.521,8.112,4.309,-6.506,-7.309,-3.464,0.676,2.45,5.027,-0.549,4.309,-2.493,-1.563,3.887,7.351,Negative_936,0
3.05,4.194,5.339,6.101,1.526,11.058,3.05,4.194,3.432,6.482,8.008,11.439,4.194,7.627,6.101,5.72,4.576,2.669,5.72,7.627,0.785,5.549,-7.175,-8.296,2.13,6.783,0.617,7.623,-5.269,-7.343,-6.67,-5.269,-0.841,-2.186,4.933,3.083,4.148,4.26,-4.933,-4.036,Positive_478,1
5.803,5.54,4.22,8.177,1.319,6.858,3.429,8.441,3.429,3.693,11.079,5.54,2.902,4.484,5.275,5.803,4.484,1.055,2.374,6.595,-3.769,-0.352,-3.769,-1.658,1.106,-0.101,1.357,2.764,-3.216,-3.317,5.678,5.829,-5.578,-1.457,-2.211,0.352,0.804,4.372,-0.101,2.764,Positive_129,1
6.638,7.586,4.742,13.274,5.69,10.43,6.638,12.326,4.742,8.534,20.86,9.482,3.792,8.534,16.12,15.172,4.742,1.896,3.792,14.224,2.778,10.573,3.495,9.409,2.688,0.538,-16.935,-14.158,4.032,3.674,-14.427,-18.548,-6.9,-1.613,-6.183,-12.276,-0.358,-8.423,-8.154,-8.423,Positive_656,1
7.961,5.151,2.927,4.332,1.756,8.313,4.449,4.683,1.991,1.991,8.898,3.629,1.873,3.747,4.683,5.268,4.097,0.702,4.332,5.386,-1.163,1.12,0.086,1.939,1.12,0.905,1.249,3.145,-1.12,0.259,0.388,2.757,1.163,1.077,-1.637,0.948,-0.517,0.0,-0.172,2.283,Positive_644,1
1.534,2.044,2.044,0.0,4.089,3.067,2.044,1.022,0.511,2.556,2.044,4.6,0.511,1.534,2.556,2.044,2.044,1.022,2.556,4.089,4.212,2.892,1.425,3.751,2.787,4.359,4.191,4.757,0.377,2.368,0.671,1.341,4.443,4.338,5.847,3.018,4.044,4.338,-0.272,-0.796,Negative_338,0
5.723,3.434,2.289,4.388,2.098,2.48,2.48,5.151,1.526,5.914,8.012,3.815,3.243,4.388,2.861,3.434,3.434,1.908,3.434,5.151,-0.188,-1.766,1.278,-0.15,0.676,-0.526,3.232,0.413,4.81,3.194,-0.338,0.15,0.714,-0.038,3.758,2.668,1.015,1.015,3.42,1.503,Positive_285,1
4.765,4.628,3.948,4.56,2.246,5.718,2.655,4.901,2.042,5.854,8.372,6.875,2.179,3.335,4.152,8.713,6.603,1.089,3.403,5.037,0.501,3.461,-1.047,0.729,-2.095,-1.047,-0.911,-0.228,-1.002,1.23,1.093,1.457,1.184,3.142,0.137,1.184,-0.911,0.592,-0.046,1.503,Positive_104,1
11.156,6.663,3.564,6.663,4.338,6.663,4.184,10.536,3.099,2.479,11.002,3.874,1.705,3.874,5.734,8.523,4.958,1.549,4.338,9.452,-0.457,-1.487,-3.545,-3.316,0.457,0.229,-2.058,-1.029,1.258,1.83,-4.688,-1.715,-2.115,-3.545,0.057,1.429,1.372,0.515,1.772,0.686,Negative_1124,0
