APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,APAAC33,APAAC34,APAAC35,APAAC36,APAAC37,APAAC38,APAAC39,APAAC40,id,label
3.865,5.623,5.271,5.271,0.0,4.216,1.757,6.325,1.405,3.514,9.487,9.839,2.46,1.055,3.514,4.919,3.163,1.757,2.108,7.028,-3.055,-1.693,0.413,1.982,-2.684,0.743,-2.312,-1.775,3.468,4.046,-2.849,1.197,-0.743,2.56,6.317,9.868,-2.271,-1.775,1.569,4.418,Positive_170,1
12.776,7.325,3.407,4.77,1.192,7.325,7.666,5.451,2.896,6.474,11.925,3.748,1.192,2.215,7.837,4.94,4.088,1.192,1.874,6.474,-3.824,-0.995,-5.186,-1.257,-3.876,-1.624,0.314,1.729,0.943,0.891,-3.719,-0.576,5.867,3.876,-3.143,-0.891,3.719,2.514,-1.048,1.519,Positive_64,1
15.084,4.741,5.172,4.309,1.724,4.741,5.603,13.36,0.862,6.034,11.206,4.741,2.586,3.879,5.603,5.172,5.603,0.0,1.292,10.775,-2.812,-1.575,-4.106,-2.306,5.174,1.069,0.787,-2.531,3.881,2.081,1.181,-1.294,0.337,2.306,1.575,-2.812,2.25,-4.106,-6.749,-4.837,Positive_26,1
1.805,2.933,1.805,2.482,2.031,4.287,3.159,0.677,1.579,1.354,4.287,4.965,0.677,2.031,4.513,2.257,2.031,0.225,1.354,3.611,5.455,4.47,2.86,0.697,3.124,3.965,1.971,3.004,2.836,2.812,2.499,3.725,4.758,4.494,1.25,0.889,0.433,0.649,1.322,0.721,Negative_91,0
10.631,5.249,4.171,5.652,1.48,6.459,6.594,7.535,3.633,4.44,12.65,3.499,4.037,1.75,4.709,5.652,6.459,0.942,2.288,7.266,0.683,-0.21,-6.201,-1.314,1.524,1.366,1.734,1.629,-1.839,-0.841,-2.575,-0.42,3.205,-0.0,-0.053,-0.0,-1.944,-0.631,0.21,0.578,Positive_38,1
15.173,5.479,4.214,8.429,0.0,6.743,2.528,9.693,2.95,4.636,10.537,2.528,0.842,7.586,5.479,6.322,9.272,1.686,5.479,7.586,1.347,-1.875,-2.812,-3.163,1.933,-0.527,2.343,-1.465,-0.059,0.879,-4.804,-5.214,2.05,-0.762,-1.699,-4.394,1.582,1.933,-3.398,0.937,Positive_158,1
7.211,6.524,1.716,6.524,3.777,2.403,4.464,9.614,3.777,3.09,10.301,4.808,2.06,3.434,4.121,13.048,7.211,4.121,1.03,8.584,-4.69,-4.205,-2.857,-3.288,3.342,1.186,-5.714,-4.636,-2.911,-5.283,0.97,-2.049,1.509,6.307,3.827,1.294,1.456,1.887,3.127,2.911,Negative_127,0
13.453,7.972,0.249,1.246,14.449,3.986,0.0,3.986,10.214,0.997,7.224,0.498,3.239,1.246,14.449,7.473,7.224,2.74,0.498,9.966,-9.056,-5.167,1.056,1.167,-8.0,-6.389,5.556,4.5,-1.056,1.722,-0.833,-1.111,3.667,-1.056,4.833,5.5,-2.167,-3.611,-1.833,1.167,Negative_204,0
3.998,2.27,1.837,2.162,1.405,0.864,1.621,3.998,1.837,3.026,5.944,1.945,0.864,3.458,2.27,2.27,2.702,2.162,3.134,3.566,3.029,2.361,1.232,0.308,4.44,3.388,2.9,3.414,2.361,1.771,3.645,2.31,3.876,2.952,2.336,1.001,1.027,0.744,2.592,2.977,Positive_3,1
9.375,4.514,6.598,5.209,1.389,6.598,7.639,6.598,0.0,7.292,10.417,4.514,3.473,5.903,7.292,4.166,7.987,1.736,2.43,6.944,-4.238,-2.752,-4.348,-4.568,0.495,-0.66,1.981,0.771,-1.706,-3.632,1.816,0.936,0.055,-2.642,2.477,0.385,0.44,3.082,-0.22,2.256,Positive_118,1
