id,N,D,C,I,K,F,P,S,APAAC3,APAAC4,APAAC5,APAAC6,_PolarizabilityC3,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC3,_ChargeC2,_ChargeC3,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_SolventAccessibilityT12,_SolventAccessibilityT13,_SecondaryStrT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,_SolventAccessibilityD1001,_SecondaryStrD2001,_ChargeD2001,_ChargeD3001,_NormalizedVDWVD2001,DI,IA,ID,PS,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,PAAC22,label
Negative_44,4.762,3.903,2.455,5.842,3.117,4.173,5.277,9.18,4.635,3.799,2.389,4.969,0.203,0.259,0.278,0.311,0.833,0.09,0.345,0.288,0.408,0.388,0.203,0.259,0.397,0.247,0.284,0.225,0.014,0.146,0.219,0.161,0.183,0.123,0.074,0.049,0.025,0.295,0.123,0.22,0.2,0.17,0.39,2.076,1.306,3.108,1.658,2.807,4.883,4.559,0
Positive_69,6.941,4.121,5.206,5.423,6.074,4.555,3.254,5.857,6.256,3.714,4.692,8.407,0.234,0.338,0.228,0.28,0.761,0.134,0.284,0.36,0.377,0.388,0.234,0.338,0.341,0.304,0.213,0.254,0.028,0.207,0.257,0.209,0.215,0.434,0.868,0.868,0.217,2.169,0.434,0.43,0.43,0.0,0.0,2.118,2.676,2.787,3.122,1.672,3.01,5.078,1
Negative_995,7.692,4.274,1.709,5.128,5.128,3.419,5.983,8.547,6.328,3.516,1.406,5.626,0.231,0.325,0.274,0.325,0.786,0.111,0.299,0.35,0.359,0.41,0.231,0.325,0.342,0.259,0.216,0.233,0.034,0.155,0.233,0.233,0.181,3.419,4.274,4.274,0.855,6.838,3.419,0.86,0.86,0.0,0.0,2.213,0.885,2.655,2.655,3.098,4.426,4.632,0
Positive_848,2.946,5.116,1.24,4.186,5.271,4.806,10.078,4.341,2.091,3.631,0.88,3.851,0.293,0.307,0.274,0.307,0.763,0.105,0.349,0.333,0.412,0.295,0.293,0.307,0.42,0.253,0.23,0.21,0.031,0.161,0.191,0.168,0.158,0.31,0.93,4.031,0.155,11.318,3.411,0.31,0.0,0.31,0.47,2.504,0.607,2.049,2.58,4.933,2.125,5.068,1
Positive_552,8.612,7.656,0.478,13.397,9.569,2.871,6.22,3.349,11.953,10.626,0.663,6.641,0.258,0.349,0.211,0.349,0.766,0.124,0.244,0.364,0.325,0.416,0.258,0.349,0.297,0.346,0.144,0.192,0.038,0.212,0.298,0.188,0.274,1.435,0.957,4.306,0.478,5.742,1.914,1.44,0.48,0.96,0.0,3.875,0.242,6.78,4.843,3.148,1.695,5.279,1
Negative_949,3.061,4.082,1.701,3.741,5.102,3.061,8.844,6.122,2.731,3.641,1.517,5.765,0.241,0.32,0.272,0.279,0.776,0.105,0.327,0.347,0.384,0.374,0.241,0.32,0.384,0.253,0.242,0.201,0.01,0.167,0.249,0.195,0.191,0.68,2.721,4.082,0.34,14.286,0.68,0.0,0.0,0.68,0.68,2.073,0.864,1.9,2.591,4.492,3.109,4.787,0
Positive_106,3.237,4.317,1.799,5.036,5.396,2.518,3.957,8.273,2.901,3.868,1.612,5.157,0.205,0.266,0.241,0.288,0.784,0.101,0.381,0.281,0.442,0.353,0.205,0.266,0.403,0.209,0.235,0.231,0.04,0.126,0.177,0.141,0.155,2.158,1.439,3.597,0.36,10.072,2.158,0.72,0.72,0.36,0.72,2.22,0.925,2.59,2.775,2.035,4.255,4.832,1
Positive_185,3.168,7.129,1.98,6.931,7.723,5.347,4.95,7.723,3.631,8.171,2.269,7.944,0.267,0.335,0.275,0.271,0.745,0.141,0.273,0.362,0.364,0.368,0.267,0.335,0.337,0.31,0.19,0.256,0.026,0.232,0.31,0.188,0.26,0.594,0.396,0.792,0.198,0.594,0.594,0.79,0.2,0.4,0.2,3.682,1.023,3.58,3.989,2.557,3.989,4.892,1
Positive_725,2.588,5.36,1.109,4.436,4.251,4.621,3.327,7.579,1.991,4.123,0.853,5.688,0.259,0.292,0.242,0.29,0.763,0.128,0.335,0.322,0.399,0.342,0.259,0.292,0.401,0.254,0.211,0.241,0.031,0.183,0.22,0.17,0.185,0.37,0.739,1.109,0.185,8.133,0.739,0.19,0.37,0.37,0.19,2.665,0.551,2.205,2.113,1.654,3.768,5.068,1
Positive_63,1.766,5.519,2.87,0.883,0.883,4.194,7.064,6.623,1.683,5.259,2.735,4.838,0.188,0.236,0.205,0.311,0.808,0.106,0.406,0.263,0.49,0.322,0.188,0.236,0.439,0.254,0.208,0.208,0.018,0.168,0.177,0.113,0.155,0.662,0.442,0.662,0.221,6.402,0.662,0.0,0.0,0.0,0.44,2.776,1.444,0.444,0.444,3.553,3.331,4.701,1
Negative_162,1.647,4.167,2.519,2.422,3.779,1.357,6.492,7.849,1.02,2.581,1.56,7.082,0.211,0.377,0.212,0.27,0.703,0.156,0.321,0.391,0.388,0.401,0.211,0.377,0.351,0.328,0.189,0.19,0.048,0.211,0.238,0.177,0.221,0.194,0.291,2.713,0.097,0.581,0.581,0.29,0.1,0.1,0.68,2.016,1.219,1.172,1.828,3.14,3.797,5.164,0
Negative_440,4.242,8.485,3.636,4.242,3.03,2.424,5.455,5.455,5.477,10.955,4.695,11.738,0.164,0.345,0.2,0.273,0.745,0.176,0.279,0.364,0.4,0.436,0.164,0.345,0.309,0.268,0.159,0.213,0.043,0.238,0.244,0.11,0.207,1.818,1.818,1.212,0.606,2.424,1.818,0.61,0.0,0.0,0.0,4.418,1.893,2.209,1.578,2.84,2.84,4.876,0
