PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,PAAC27,PAAC28,PAAC29,PAAC30,id,label
4.43,1.156,3.467,3.563,0.0,2.119,2.504,5.008,1.059,2.408,3.852,3.467,0.578,2.215,1.637,3.563,3.852,0.481,3.467,3.948,4.728,4.797,4.813,4.639,4.649,4.879,4.755,4.407,4.694,4.866,Positive_195,1
5.587,2.465,2.793,3.944,0.328,3.615,1.479,2.629,0.164,2.3,5.422,4.765,0.986,1.479,1.972,2.3,3.779,0.657,0.986,2.793,4.754,5.072,5.082,4.772,5.105,5.256,4.802,5.019,4.949,4.744,Positive_58,1
3.424,4.851,1.427,3.566,0.285,1.854,1.997,4.423,1.284,1.712,5.992,1.141,0.571,1.427,4.423,5.279,1.569,0.285,0.285,3.566,5.171,4.968,5.121,4.958,5.294,4.899,5.045,5.084,5.134,4.966,Negative_183,0
4.862,1.407,1.407,2.559,0.896,3.199,2.047,3.583,1.919,3.199,3.711,3.454,1.663,2.175,2.303,2.815,3.454,1.024,2.047,3.711,4.884,5.223,4.56,4.958,4.768,4.984,4.802,4.75,4.825,4.809,Positive_149,1
2.198,1.831,0.732,4.395,5.494,1.831,2.564,2.93,4.029,2.198,2.198,6.959,1.099,2.93,4.395,1.831,1.465,0.0,0.732,3.297,4.551,5.045,4.748,4.371,4.711,5.157,4.727,4.161,4.615,4.804,Negative_78,0
6.561,2.072,1.036,0.345,1.727,1.727,1.381,5.525,1.036,2.072,6.215,1.381,2.072,3.798,3.798,5.179,2.762,1.727,1.036,3.453,3.997,4.603,4.612,4.397,4.625,4.565,4.505,4.384,4.477,4.935,Negative_146,0
4.151,2.767,1.384,2.767,1.384,6.919,2.076,2.076,0.692,1.384,4.151,3.459,0.692,1.384,2.076,4.843,4.151,1.384,0.692,2.076,4.717,4.874,4.422,5.512,4.611,5.22,4.606,4.341,5.838,5.356,Negative_160,0
7.929,1.982,2.523,1.262,0.901,2.342,2.342,0.541,2.162,1.622,3.604,2.523,0.541,1.622,13.695,8.47,11.173,0.0,0.541,2.162,3.061,3.275,3.376,3.078,3.295,3.305,2.948,3.21,3.152,3.363,Negative_157,0
5.029,2.823,1.676,4.324,0.353,2.382,1.147,4.5,0.97,2.294,4.412,0.794,0.97,1.853,3.0,3.441,3.265,1.147,1.5,4.765,4.776,4.994,4.867,4.748,5.219,4.791,4.956,4.996,5.115,4.892,Positive_55,1
7.066,5.112,0.752,1.504,0.601,3.307,1.052,4.961,2.105,0.601,5.863,0.752,0.752,0.752,2.706,4.059,2.105,1.052,0.601,1.654,4.835,5.181,5.295,5.228,5.531,5.006,5.595,5.224,5.285,5.463,Negative_232,0
4.064,3.636,0.535,2.78,0.963,3.85,2.674,3.957,1.497,1.177,6.203,1.925,0.321,1.711,3.423,4.171,1.177,0.428,1.39,3.743,4.97,5.166,4.739,5.134,5.352,5.235,4.885,4.707,4.962,5.225,Negative_3,0
4.081,4.081,1.597,2.839,0.355,3.371,1.419,2.129,0.887,1.597,4.436,2.129,0.355,2.839,3.194,2.307,2.129,0.887,1.597,4.613,5.394,5.132,5.392,4.715,5.556,5.092,5.506,5.45,5.202,5.717,Positive_13,1
2.323,0.774,1.548,3.097,2.323,3.871,0.0,4.646,1.548,1.548,6.194,6.194,2.323,0.774,1.548,3.871,3.871,0.0,1.548,4.646,4.967,4.709,5.354,3.812,5.094,4.617,4.256,4.92,4.449,5.175,Positive_117,1
3.374,3.139,2.765,2.577,1.5,3.842,1.968,3.421,1.406,2.015,6.231,1.968,0.75,2.155,3.467,5.06,1.874,1.077,1.171,2.343,4.616,4.778,4.588,4.728,4.851,4.976,4.773,4.71,4.911,4.968,Positive_44,1
3.893,4.282,1.557,2.336,2.336,3.114,1.946,5.449,1.946,1.946,3.114,2.336,0.779,1.946,1.557,1.168,3.114,0.0,1.557,3.893,5.203,5.063,4.93,4.875,5.201,5.013,4.894,6.072,5.104,5.377,Positive_8,1
6.783,3.391,0.617,0.925,1.85,0.617,2.775,4.625,1.85,0.925,9.25,1.233,1.233,2.158,4.008,2.158,1.542,0.925,2.467,4.008,4.371,4.99,4.75,4.699,4.654,4.993,4.179,4.934,4.494,4.593,Negative_68,0
5.409,4.173,1.236,1.7,2.009,1.082,1.391,2.163,1.7,1.7,8.809,1.7,1.236,2.627,1.7,4.327,2.936,0.773,1.236,4.173,4.445,4.856,4.682,4.164,4.69,5.015,4.919,4.974,4.981,5.195,Negative_71,0
3.481,2.378,2.463,2.548,1.104,3.312,2.038,3.736,1.189,2.803,4.586,3.567,1.528,2.548,1.953,3.142,2.972,0.764,1.614,2.717,4.868,4.923,4.714,4.921,5.39,5.047,4.878,5.034,4.938,4.847,Positive_37,1
2.437,3.21,2.258,2.377,0.832,4.161,2.615,2.793,1.724,1.783,5.171,3.447,1.189,1.664,2.853,7.964,3.744,0.059,0.713,2.496,4.483,4.798,4.763,4.721,4.702,4.496,4.75,4.523,4.739,4.533,Negative_218,0
5.05,1.792,2.932,2.606,0.652,4.724,1.303,4.235,0.815,1.792,4.072,2.118,1.466,2.606,4.398,3.258,3.421,0.489,1.466,3.909,4.811,5.018,4.564,4.864,4.84,4.854,4.421,4.532,4.92,4.073,Positive_128,1
2.539,3.385,0.846,3.102,2.256,4.513,1.974,2.256,1.692,1.41,4.231,4.513,0.564,2.256,3.949,1.692,2.256,1.128,1.41,2.539,5.385,5.47,4.747,4.956,4.723,5.169,5.193,4.762,5.996,5.087,Positive_34,1
2.935,2.348,2.935,2.935,1.174,4.109,2.348,2.348,2.935,1.761,4.109,2.935,2.348,1.761,2.348,2.935,2.935,1.174,2.935,1.174,5.083,4.283,4.949,4.631,5.229,4.593,5.358,4.967,5.103,5.33,Negative_148,0
2.973,4.46,0.7,2.099,2.011,2.536,1.924,4.984,1.137,0.875,4.984,2.099,0.612,1.486,5.071,5.246,1.486,0.962,1.224,2.71,4.881,5.104,5.045,5.387,4.983,5.069,5.129,4.831,4.948,5.045,Negative_52,0
3.887,3.024,1.62,2.087,0.684,3.311,1.944,3.203,1.332,3.527,6.01,2.987,1.547,2.267,1.764,4.247,2.915,0.612,1.187,3.563,4.921,4.903,4.844,4.74,5.063,4.794,4.714,4.595,4.813,4.893,Positive_186,1
2.084,4.902,1.103,0.858,2.941,4.78,1.716,3.309,3.677,1.716,3.432,3.187,0.368,1.838,1.593,5.638,2.329,0.245,1.961,1.593,5.124,5.743,4.841,5.627,5.71,4.21,4.705,5.388,4.351,5.031,Negative_235,0
3.352,2.579,2.579,4.384,1.031,3.868,3.352,2.579,1.289,1.289,5.158,2.321,1.031,2.579,2.579,7.478,1.805,0.516,1.289,1.805,4.65,5.046,4.673,4.7,4.441,5.117,4.761,4.338,4.568,4.842,Negative_168,0
4.549,5.231,2.047,4.094,1.819,2.047,1.365,2.729,0.91,1.819,4.776,2.957,0.91,1.592,2.729,2.957,1.592,0.227,1.137,2.502,4.6,5.389,5.25,5.063,5.305,5.331,5.06,4.859,5.879,5.276,Positive_100,1
6.886,3.024,1.848,1.343,0.672,4.535,4.031,3.695,1.343,2.687,4.703,2.687,1.343,0.504,4.199,2.519,3.695,0.336,0.504,4.367,4.323,4.674,4.578,4.55,4.836,4.844,3.922,4.625,3.922,4.803,Negative_156,0
1.912,3.441,1.53,0.191,4.206,4.206,3.633,3.441,4.015,1.912,2.868,5.545,0.765,2.103,1.721,4.78,3.059,0.0,1.53,0.956,5.166,5.256,4.269,5.85,5.35,4.052,4.749,5.236,3.79,4.469,Negative_203,0
3.562,2.881,1.624,2.881,1.257,2.881,2.724,3.981,1.571,1.466,5.343,2.986,0.943,1.991,4.452,4.347,1.833,0.576,1.571,3.038,4.744,4.69,4.711,4.939,4.962,4.711,4.872,4.778,4.726,4.957,Negative_109,0
3.742,1.588,2.495,2.721,0.454,2.721,2.835,1.588,1.134,2.041,7.257,3.288,1.588,2.721,3.629,5.783,6.237,0.34,0.794,3.742,4.646,4.264,4.292,4.187,4.108,4.601,4.187,4.261,4.295,4.462,Positive_95,1
4.105,4.753,1.729,1.945,0.216,3.457,3.025,3.673,1.08,1.512,5.401,1.08,1.08,0.864,3.241,3.889,1.945,1.297,1.08,2.593,5.454,5.269,5.164,5.226,5.087,5.61,4.962,4.931,5.384,4.948,Positive_151,1
2.191,1.948,5.357,1.948,0.243,1.461,2.191,5.844,0.974,3.165,2.191,2.191,1.217,1.704,1.704,4.14,4.14,1.704,3.165,3.409,5.051,4.924,4.58,4.644,5.094,4.789,5.14,4.952,4.954,4.98,Positive_129,1
4.849,1.455,2.425,1.94,0.727,3.88,1.94,2.182,0.97,3.395,5.819,4.364,1.455,2.425,2.667,1.455,2.667,0.727,2.425,2.91,5.159,5.344,4.548,4.477,5.237,4.933,4.743,4.997,4.698,5.189,Positive_76,1
1.225,2.449,3.367,8.266,1.531,3.98,0.918,2.143,0.918,1.225,3.367,3.674,1.837,2.755,1.531,4.592,0.918,1.531,0.612,2.143,4.918,4.795,4.217,5.689,5.251,5.528,4.981,5.288,5.4,4.952,Positive_99,1
1.525,0.915,8.544,3.051,1.221,2.441,0.915,1.525,1.221,6.103,6.408,3.967,1.525,2.746,2.441,2.746,2.136,0.305,2.136,3.356,4.623,4.686,4.416,4.347,4.562,4.86,4.369,3.827,4.291,4.791,Positive_139,1
5.428,1.652,2.36,3.54,0.708,4.012,1.652,1.18,2.596,3.304,4.956,4.012,0.944,2.124,1.888,4.248,2.124,0.472,1.888,2.36,4.877,4.723,4.887,4.62,4.386,5.124,4.772,5.17,5.093,4.9,Positive_45,1
4.955,4.46,1.239,1.487,0.743,2.973,1.239,3.468,1.734,1.982,3.964,3.468,1.487,0.743,4.212,5.451,3.468,0.248,1.239,2.725,4.585,5.041,5.049,4.575,4.672,4.872,4.928,4.536,5.626,4.831,Negative_139,0
4.201,2.2,1.133,2.534,0.867,3.067,2.134,4.534,0.6,3.067,5.001,4.734,1.267,2.067,2.2,3.2,2.534,0.067,1.2,4.267,4.777,5.375,4.825,4.698,5.133,4.912,4.754,4.551,5.026,5.075,Positive_21,1
6.516,1.231,2.052,1.95,0.667,2.206,1.796,6.003,0.821,3.592,6.106,3.181,1.796,1.847,2.719,3.232,3.643,0.205,1.796,4.361,4.452,4.706,4.327,4.349,4.561,4.413,4.252,4.413,4.388,4.419,Positive_1,1
5.971,4.664,1.119,2.239,0.746,5.597,2.612,2.799,1.306,0.373,2.239,3.359,0.933,0.373,4.664,4.851,1.866,1.119,1.493,2.052,4.917,4.929,4.713,5.068,4.831,5.453,5.01,4.791,4.869,5.043,Negative_66,0
3.51,4.434,1.109,2.494,2.402,4.619,1.57,5.266,3.695,0.924,3.418,2.309,1.109,2.033,3.049,4.065,1.848,0.277,0.554,1.663,4.831,4.984,4.748,5.385,5.178,4.72,4.884,5.037,4.813,5.073,Negative_54,0
5.058,1.517,1.686,2.698,0.168,3.372,1.18,3.372,1.349,2.698,4.383,5.227,1.517,2.866,1.854,4.046,4.046,0.168,1.012,4.72,4.733,5.506,4.635,4.322,4.862,4.611,4.442,4.508,4.762,4.682,Positive_36,1
18.367,0.36,1.08,1.08,0.54,9.544,1.621,6.122,0.18,0.0,0.36,5.042,0.18,1.08,6.302,5.763,1.08,0.0,0.0,1.08,3.733,3.784,4.053,4.104,4.023,4.104,4.011,3.874,4.322,4.206,Negative_67,0
2.219,2.035,1.849,1.665,2.219,1.11,1.11,1.48,2.219,3.699,8.693,2.404,1.849,4.439,2.219,5.919,4.624,0.0,2.59,4.809,3.938,4.386,4.241,4.252,4.389,4.452,4.478,4.378,4.201,4.135,Negative_161,0
1.823,3.646,0.912,1.823,0.912,2.962,3.873,1.823,2.051,2.051,5.013,3.646,0.455,1.595,6.607,7.291,3.646,0.455,0.912,2.734,3.945,4.3,4.818,4.558,4.566,4.794,4.815,4.465,4.666,4.848,Negative_166,0
3.625,2.573,1.579,3.041,0.994,3.625,1.696,3.859,0.936,3.158,4.269,3.801,1.637,2.047,2.69,2.573,2.398,0.409,1.228,4.035,5.022,5.1,4.965,4.794,5.256,5.02,4.947,4.919,4.972,4.834,Positive_205,1
3.192,2.998,1.741,2.563,0.677,4.062,2.611,2.901,1.306,2.804,4.836,3.047,1.644,1.451,3.337,3.917,2.466,0.677,1.837,2.804,4.99,5.077,4.863,4.983,5.056,4.797,4.644,4.878,4.878,4.962,Positive_153,1
1.815,3.266,1.089,1.452,2.178,3.266,1.089,3.992,0.726,1.815,7.258,3.992,1.089,2.178,3.992,5.444,3.266,0.726,0.726,1.089,4.707,5.209,5.015,4.926,4.861,5.138,4.485,4.732,5.342,5.138,Negative_21,0
4.525,3.771,1.131,2.263,0.754,4.902,2.64,2.263,2.263,1.509,1.885,5.279,0.754,0.377,4.148,6.41,3.016,0.377,1.131,3.016,4.133,4.93,4.382,4.534,5.121,4.995,4.888,5.129,4.99,4.484,Negative_114,0
5.033,1.35,2.824,2.824,0.86,3.315,0.737,4.91,0.614,2.332,4.665,5.156,1.719,1.964,2.087,2.946,2.087,0.491,0.491,4.788,5.027,4.897,4.776,4.641,4.981,5.112,4.467,4.699,5.063,5.145,Positive_214,1
3.121,1.734,2.427,3.988,2.601,5.895,1.734,2.427,2.081,2.081,5.029,3.468,0.867,2.427,3.121,1.214,2.948,0.694,1.214,3.468,4.786,4.818,4.584,4.865,4.566,4.849,4.453,4.839,4.755,4.947,Positive_91,1
4.138,4.327,0.941,2.069,0.564,2.069,2.069,5.644,1.129,1.881,5.079,0.564,0.752,1.693,9.218,4.327,2.446,1.129,0.564,2.446,4.541,4.273,4.7,4.629,4.525,4.626,4.541,5.106,4.889,5.119,Negative_41,0
2.569,4.533,0.151,1.965,1.662,2.72,1.662,2.72,1.511,1.662,9.369,1.511,1.965,0.604,3.022,3.627,2.569,1.209,0.906,3.324,5.419,5.247,4.813,5.257,4.781,5.032,5.003,5.264,5.018,4.902,Negative_33,0
2.555,3.407,0.852,2.555,1.065,3.407,2.981,2.342,1.704,1.065,6.388,5.75,1.277,1.491,3.407,4.685,2.129,0.852,1.065,1.277,5.076,5.495,4.347,4.726,4.87,4.839,4.628,5.154,5.204,5.407,Negative_43,0
3.696,3.167,2.256,3.072,0.768,2.976,2.784,3.408,1.632,1.872,4.607,0.96,1.152,1.824,2.976,2.879,2.688,1.872,1.488,3.072,5.18,5.175,5.222,5.082,5.268,5.015,4.934,4.998,4.919,5.062,Positive_56,1
6.329,5.412,0.367,1.835,0.918,3.669,3.027,1.926,1.009,1.284,5.045,2.11,1.193,1.101,5.412,3.669,2.568,0.183,0.642,2.385,5.109,5.169,4.971,4.793,5.209,4.929,5.054,5.004,5.026,4.651,Negative_112,0
3.307,3.536,2.281,2.623,0.456,2.509,1.825,3.307,1.255,2.395,4.904,2.281,1.483,2.281,3.08,4.334,1.825,0.342,2.509,3.194,5.321,5.219,4.883,4.794,5.035,5.023,4.784,5.162,4.809,5.244,Positive_198,1
4.561,2.219,1.109,1.356,1.479,1.603,2.096,5.177,0.986,2.342,7.52,0.986,1.109,3.452,1.849,5.547,3.082,1.849,1.356,4.068,4.337,4.783,4.582,4.318,4.464,4.673,4.705,4.719,4.684,4.988,Negative_191,0
3.073,4.185,0.915,2.157,1.373,3.4,2.419,4.054,1.373,1.373,5.166,0.915,0.719,2.419,3.204,3.073,2.157,1.242,1.373,3.988,4.955,5.191,5.018,5.094,5.227,5.203,5.164,4.863,5.39,5.315,Negative_103,0
1.613,3.944,1.792,1.972,0.179,3.406,1.076,4.122,0.717,4.122,5.019,3.226,0.896,1.792,1.792,3.585,1.972,0.358,2.151,2.868,5.012,5.32,5.322,4.684,5.443,5.453,5.59,5.294,5.744,5.536,Negative_207,0
