PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,PAAC27,PAAC28,PAAC29,PAAC30,id,label
3.629,4.355,1.089,1.815,4.718,3.085,3.085,4.536,1.27,0.907,4.174,1.633,0.726,1.452,4.718,5.263,2.54,0.544,0.907,2.722,4.565,4.551,4.722,4.549,4.636,4.759,4.815,4.828,4.849,4.557,Negative_1095,0
4.178,2.507,1.671,3.342,2.089,2.507,2.089,2.925,1.254,3.342,8.356,5.431,0.835,0.0,2.089,4.596,3.76,0.0,0.418,2.089,5.027,4.706,4.591,4.687,4.284,4.099,4.653,4.808,4.503,5.163,Negative_869,0
1.369,2.935,1.956,2.348,0.391,4.5,1.956,3.717,1.565,2.348,5.869,2.152,1.956,2.739,3.131,3.717,2.543,0.196,1.761,3.326,4.979,5.429,4.767,5.164,4.984,4.666,5.28,5.037,4.606,4.611,Positive_754,1
4.585,3.74,1.568,3.62,0.0,2.896,2.172,3.258,1.448,1.689,3.982,1.327,1.206,2.775,2.655,1.448,3.258,0.603,3.017,2.896,5.464,5.221,5.466,5.072,5.368,5.288,4.797,4.821,5.091,5.269,Positive_764,1
4.457,1.294,1.581,2.444,2.3,2.875,1.006,5.175,1.15,3.738,4.169,4.6,1.581,2.156,2.875,3.306,3.163,0.287,0.575,5.175,4.741,4.725,4.545,4.658,4.539,4.526,4.911,4.45,4.483,4.512,Positive_41,1
5.348,2.431,2.042,2.723,0.875,2.625,2.528,4.668,0.584,2.431,3.598,2.82,0.972,2.431,2.431,2.237,2.723,0.681,1.653,4.473,4.992,5.342,4.849,4.585,5.198,4.985,4.834,5.015,4.821,5.103,Positive_147,1
3.592,2.946,1.365,2.371,1.293,1.796,1.293,5.101,0.934,2.515,7.041,1.222,1.006,2.874,4.239,5.676,2.874,0.503,1.94,3.161,4.41,4.748,4.52,4.525,4.662,4.692,4.581,4.667,4.665,4.788,Negative_1309,0
1.631,3.587,2.935,0.978,2.609,3.587,3.261,2.935,1.305,3.913,5.218,3.913,0.978,0.978,2.283,2.935,2.935,0.978,1.631,2.935,4.277,4.91,4.944,5.281,4.671,4.887,4.403,4.908,4.892,5.302,Negative_691,0
2.535,5.07,4.056,2.028,0.507,7.604,2.028,1.014,0.507,2.028,2.028,4.056,2.028,0.507,4.563,4.563,4.056,0.0,0.507,2.535,4.582,5.195,3.994,4.736,4.697,5.323,5.381,4.697,4.42,4.759,Negative_898,0
4.026,3.24,1.811,2.74,1.405,2.93,1.525,4.169,1.548,2.644,6.051,1.668,1.501,2.549,3.597,4.359,2.144,0.691,1.239,3.121,4.66,4.817,4.409,4.684,4.811,4.507,4.748,4.872,4.753,4.782,Positive_1205,1
2.886,3.026,2.048,2.187,0.931,2.839,2.141,3.258,1.629,2.793,6.097,2.002,1.397,2.42,3.118,4.515,3.165,1.117,1.164,3.165,4.889,4.847,4.876,4.777,4.868,4.798,4.728,4.637,4.883,4.8,Positive_353,1
4.36,0.545,0.545,4.36,0.545,4.36,1.635,4.36,0.545,2.18,5.45,5.45,2.18,3.27,0.545,3.815,3.27,0.0,1.09,3.27,4.786,5.074,4.877,3.948,5.123,5.434,4.996,4.489,5.027,4.473,Positive_543,1
2.961,3.638,2.03,2.961,1.523,4.568,1.861,1.692,1.1,3.046,4.314,3.046,2.03,2.03,2.877,3.299,2.453,0.508,1.438,2.792,4.949,4.969,4.741,5.237,5.034,4.949,4.959,5.077,4.977,4.941,Positive_991,1
4.353,2.126,0.911,3.24,0.709,2.531,2.329,5.264,1.114,3.645,4.556,3.341,1.822,1.62,1.721,3.645,3.138,0.0,1.721,4.252,4.631,4.717,4.699,4.876,4.832,4.795,4.785,4.777,4.941,4.912,Positive_999,1
5.638,1.208,1.342,3.356,0.403,3.624,2.282,5.504,0.671,3.221,4.027,4.161,1.611,2.416,1.208,1.879,3.759,0.134,1.879,3.087,4.807,4.892,4.864,4.92,4.833,5.221,4.953,5.0,4.596,4.504,Positive_750,1
5.981,5.036,0.63,2.833,0.945,3.778,1.574,1.259,0.63,1.574,3.778,3.148,0.315,2.203,4.407,4.092,2.203,0.63,0.63,2.203,4.959,4.73,4.77,5.316,5.677,5.421,5.373,5.294,4.947,5.663,Negative_768,0
6.114,4.123,1.137,3.412,0.142,2.559,2.559,3.696,0.995,0.853,5.687,1.422,0.995,1.848,3.696,1.28,2.986,0.0,1.137,5.26,5.227,4.886,4.616,4.945,5.18,4.988,5.018,4.893,5.437,4.906,Positive_1206,1
3.37,2.823,1.548,2.277,0.273,3.006,1.639,2.732,1.275,3.188,4.099,3.734,1.184,2.641,4.28,6.193,2.641,0.182,1.457,3.279,4.612,4.884,4.498,4.895,4.584,5.081,5.12,4.731,4.882,4.892,Positive_981,1
3.711,1.855,2.227,3.34,1.113,1.484,1.484,5.938,0.742,1.855,4.453,3.711,1.855,1.484,1.484,3.711,4.082,0.742,1.855,4.825,4.344,4.954,5.243,5.068,5.133,4.923,5.022,4.837,4.229,4.289,Negative_1123,0
2.686,2.831,1.96,2.468,0.944,3.629,3.267,2.758,1.379,3.339,4.5,2.976,1.524,2.468,2.686,2.395,3.049,0.798,1.742,3.411,4.918,4.753,4.347,4.878,5.129,4.951,5.18,5.137,4.779,5.117,Positive_802,1
4.868,2.895,0.921,2.237,1.184,4.605,1.053,4.473,1.184,2.105,3.816,2.763,1.316,2.105,2.763,2.237,1.447,1.184,1.316,3.289,5.397,5.476,5.27,4.86,5.034,5.44,5.321,5.091,5.471,4.879,Positive_1194,1
2.468,1.81,2.468,1.645,2.139,1.152,1.481,1.974,1.81,4.113,5.758,4.113,1.974,4.442,1.974,4.277,3.455,0.329,2.468,5.594,4.006,4.521,4.264,4.449,4.749,4.483,4.094,4.574,4.763,4.654,Positive_383,1
3.152,3.399,1.978,1.36,1.236,1.607,2.163,3.275,2.781,1.73,6.304,1.978,0.618,2.472,4.079,5.068,2.411,0.989,1.793,3.028,4.764,5.078,5.057,4.566,4.947,4.875,4.857,5.044,4.687,4.705,Positive_59,1
2.319,2.685,2.075,2.563,0.732,4.637,1.709,2.563,1.22,3.783,5.003,2.685,1.464,2.196,1.83,4.027,3.661,0.976,1.709,3.783,5.115,4.563,4.914,4.457,4.966,5.061,4.819,4.757,4.622,5.108,Positive_506,1
2.916,2.916,1.166,1.749,0.583,3.499,2.916,5.832,1.166,2.916,2.916,4.665,1.166,2.916,5.832,1.166,2.916,0.583,0.583,2.333,5.528,5.191,4.513,4.668,4.483,5.213,5.302,4.511,4.663,5.191,Negative_243,0
4.207,3.443,1.243,2.104,0.86,3.443,1.721,4.494,0.67,1.243,5.068,2.677,0.67,2.295,4.207,2.677,3.347,0.86,0.86,3.73,5.049,4.89,5.176,4.937,5.146,5.176,4.798,4.89,5.022,5.094,Negative_779,0
4.11,3.923,0.934,3.363,1.121,3.176,2.055,4.11,1.308,1.681,5.417,1.494,1.308,1.494,6.352,2.802,1.868,0.374,1.494,2.055,4.933,5.011,4.905,5.324,4.935,4.787,4.95,5.205,4.731,4.781,Negative_220,0
7.033,2.573,3.087,2.058,0.172,1.372,1.715,2.058,1.201,2.23,5.317,3.602,2.573,1.715,2.744,3.945,4.117,0.343,1.544,3.774,4.82,4.586,4.823,4.844,4.759,4.732,4.751,4.698,4.448,4.366,Positive_878,1
2.102,2.116,2.908,2.39,2.088,2.505,2.016,5.384,1.397,3.182,3.642,1.598,0.662,2.778,3.671,5.24,3.671,0.821,2.145,3.052,4.87,4.56,4.712,4.55,4.728,4.563,4.827,4.51,4.64,4.672,Negative_278,0
4.662,4.823,0.482,1.447,2.411,2.09,1.608,5.787,2.09,1.125,6.431,0.482,1.286,1.125,2.572,3.858,2.894,0.965,0.322,3.858,4.918,4.941,4.926,4.763,5.13,4.991,5.117,4.649,5.235,5.012,Negative_661,0
3.789,2.239,2.411,2.927,0.947,3.617,1.206,2.755,1.119,4.478,4.908,3.961,1.033,2.325,2.669,1.894,3.358,0.0,1.808,3.272,5.041,5.021,5.297,5.011,4.843,4.907,4.914,4.816,4.542,4.892,Positive_315,1
6.808,3.332,1.448,2.028,2.028,1.159,0.579,2.897,0.434,3.187,5.794,1.738,1.738,2.608,3.621,3.911,2.897,0.869,1.738,5.07,4.462,4.327,4.343,4.411,4.613,4.869,4.844,4.599,4.729,4.917,Positive_83,1
1.264,6.322,2.529,1.264,1.264,0.632,2.529,6.954,1.264,0.0,8.219,1.264,1.897,1.264,5.058,2.529,0.632,1.264,0.0,2.529,5.031,4.946,5.058,4.318,4.958,4.817,5.817,5.406,5.666,5.304,Negative_101,0
6.696,4.381,0.909,1.901,1.24,1.653,1.405,3.389,0.909,0.413,6.53,0.744,1.157,1.736,1.901,2.645,1.818,1.736,2.645,3.968,5.026,5.44,5.342,5.153,5.294,5.017,5.292,5.253,5.265,5.139,Negative_1243,0
2.263,3.395,2.012,2.263,1.509,2.012,3.772,1.76,3.269,3.269,2.892,3.897,1.006,1.006,6.664,4.652,2.263,0.503,2.389,2.64,4.593,4.547,4.828,4.686,4.844,4.598,4.507,4.523,4.707,4.734,Negative_1051,0
5.218,3.522,0.326,1.566,0.913,3.522,2.348,5.414,0.848,0.456,9.132,0.978,0.326,1.174,4.957,2.805,2.413,1.305,0.456,2.87,5.035,4.919,5.017,4.939,5.015,4.873,5.027,4.777,4.941,4.906,Negative_500,0
5.545,3.004,1.848,2.08,0.924,3.697,2.311,4.737,0.578,3.235,3.119,3.35,1.502,2.08,1.733,1.617,2.542,0.578,1.733,2.426,4.988,5.396,5.08,5.005,5.233,5.377,5.173,5.275,5.097,4.74,Positive_587,1
6.641,4.667,0.718,2.244,1.077,2.692,1.615,4.577,0.628,0.359,8.526,0.269,0.359,0.808,5.924,2.782,2.423,0.718,0.538,2.692,4.925,4.978,4.885,5.184,5.081,4.9,4.775,5.021,4.838,5.152,Negative_629,0
5.954,2.501,1.905,1.548,0.953,3.572,2.024,5.716,0.834,2.381,4.882,1.786,2.024,1.667,3.215,4.048,2.858,0.596,0.714,4.048,4.546,4.705,4.53,4.516,4.756,4.743,4.591,4.974,4.511,4.902,Negative_1260,0
5.322,1.065,2.129,2.484,0.71,2.838,1.065,4.613,3.193,0.0,6.387,3.903,0.71,2.838,2.484,1.774,2.484,0.71,1.065,6.387,4.937,4.765,4.845,4.079,4.59,5.464,4.566,4.843,4.744,5.01,Positive_347,1
2.589,2.589,2.21,2.589,1.642,3.915,2.02,2.968,1.578,2.02,4.546,4.609,1.01,1.642,3.031,6.314,2.968,0.505,1.01,2.968,4.505,4.927,4.766,4.647,4.864,4.89,4.576,4.732,4.819,4.553,Negative_1230,0
5.056,2.643,1.839,2.413,0.804,2.413,2.068,4.137,1.264,2.758,3.907,3.332,1.379,2.413,2.413,2.758,2.413,0.804,1.379,3.218,4.867,5.314,4.753,5.203,5.094,5.032,4.956,5.294,5.28,4.795,Positive_253,1
5.561,3.532,0.977,2.104,1.954,3.457,2.254,4.584,2.029,1.353,5.411,1.127,0.677,1.202,2.931,3.983,3.156,0.677,0.827,4.208,4.647,4.836,4.735,4.831,4.79,4.922,4.571,4.647,4.899,5.117,Negative_753,0
2.03,4.061,2.437,2.437,1.625,1.218,2.03,4.061,2.437,2.03,4.873,2.843,2.03,1.218,2.843,4.467,2.03,1.625,0.406,2.843,4.588,5.101,4.826,5.019,5.611,5.264,4.459,4.273,5.871,5.44,Negative_318,0
3.119,2.306,2.577,1.628,0.678,3.391,1.628,3.119,1.085,3.119,5.697,3.527,0.542,2.17,2.442,3.934,2.713,1.085,2.306,3.527,4.983,5.239,5.029,4.614,4.834,5.006,4.993,4.789,4.887,5.034,Positive_115,1
4.682,4.502,1.08,2.881,1.44,2.521,1.801,3.781,1.621,1.44,4.862,1.08,1.261,2.881,2.881,3.781,1.08,0.18,1.44,2.881,5.289,5.858,5.159,4.767,5.233,5.044,5.269,5.265,4.849,5.188,Positive_637,1
3.072,2.156,2.21,3.827,0.323,3.881,1.617,2.911,1.455,2.964,3.935,3.665,1.024,2.156,2.048,2.695,2.803,0.97,2.048,3.665,5.11,5.271,5.333,5.088,5.175,4.987,4.792,4.73,5.103,4.987,Positive_431,1
