_PolarizabilityC1,_PolarizabilityC2,_PolarizabilityC3,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC1,_SecondaryStrC2,_SecondaryStrC3,_ChargeC1,_ChargeC2,_ChargeC3,_PolarityC1,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_HydrophobicityC3,_PolarizabilityT12,_PolarizabilityT13,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SolventAccessibilityT23,_SecondaryStrT12,_SecondaryStrT13,_SecondaryStrT23,_ChargeT12,_ChargeT13,_ChargeT23,_PolarityT12,_PolarityT13,_PolarityT23,_NormalizedVDWVT12,_NormalizedVDWVT13,_NormalizedVDWVT23,_HydrophobicityT12,_HydrophobicityT13,_HydrophobicityT23,_PolarizabilityD1001,_PolarizabilityD1025,_PolarizabilityD1050,_PolarizabilityD1075,_PolarizabilityD1100,_PolarizabilityD2001,_PolarizabilityD2025,_PolarizabilityD2050,_PolarizabilityD2075,_PolarizabilityD2100,_PolarizabilityD3001,_PolarizabilityD3025,_PolarizabilityD3050,_PolarizabilityD3075,_PolarizabilityD3100,_SolventAccessibilityD1001,_SolventAccessibilityD1025,_SolventAccessibilityD1050,_SolventAccessibilityD1075,_SolventAccessibilityD1100,_SolventAccessibilityD2001,_SolventAccessibilityD2025,_SolventAccessibilityD2050,_SolventAccessibilityD2075,_SolventAccessibilityD2100,_SolventAccessibilityD3001,_SolventAccessibilityD3025,_SolventAccessibilityD3050,_SolventAccessibilityD3075,_SolventAccessibilityD3100,_SecondaryStrD1001,_SecondaryStrD1025,_SecondaryStrD1050,_SecondaryStrD1075,_SecondaryStrD1100,_SecondaryStrD2001,_SecondaryStrD2025,_SecondaryStrD2050,_SecondaryStrD2075,_SecondaryStrD2100,_SecondaryStrD3001,_SecondaryStrD3025,_SecondaryStrD3050,_SecondaryStrD3075,_SecondaryStrD3100,_ChargeD1001,_ChargeD1025,_ChargeD1050,_ChargeD1075,_ChargeD1100,_ChargeD2001,_ChargeD2025,_ChargeD2050,_ChargeD2075,_ChargeD2100,_ChargeD3001,_ChargeD3025,_ChargeD3050,_ChargeD3075,_ChargeD3100,_PolarityD1001,_PolarityD1025,_PolarityD1050,_PolarityD1075,_PolarityD1100,_PolarityD2001,_PolarityD2025,_PolarityD2050,_PolarityD2075,_PolarityD2100,_PolarityD3001,_PolarityD3025,_PolarityD3050,_PolarityD3075,_PolarityD3100,_NormalizedVDWVD1001,_NormalizedVDWVD1025,_NormalizedVDWVD1050,_NormalizedVDWVD1075,_NormalizedVDWVD1100,_NormalizedVDWVD2001,_NormalizedVDWVD2025,_NormalizedVDWVD2050,_NormalizedVDWVD2075,_NormalizedVDWVD2100,_NormalizedVDWVD3001,_NormalizedVDWVD3025,_NormalizedVDWVD3050,_NormalizedVDWVD3075,_NormalizedVDWVD3100,_HydrophobicityD1001,_HydrophobicityD1025,_HydrophobicityD1050,_HydrophobicityD1075,_HydrophobicityD1100,_HydrophobicityD2001,_HydrophobicityD2025,_HydrophobicityD2050,_HydrophobicityD2075,_HydrophobicityD2100,_HydrophobicityD3001,_HydrophobicityD3025,_HydrophobicityD3050,_HydrophobicityD3075,_HydrophobicityD3100,id,label
0.313,0.496,0.191,0.347,0.329,0.324,0.456,0.205,0.338,0.091,0.762,0.147,0.26,0.387,0.353,0.451,0.358,0.191,0.329,0.427,0.244,0.279,0.131,0.155,0.197,0.208,0.188,0.169,0.27,0.144,0.138,0.026,0.14,0.209,0.175,0.22,0.31,0.162,0.124,0.233,0.151,0.215,0.727,25.455,49.273,73.636,100.0,0.364,27.455,53.636,79.818,99.818,0.182,22.364,42.727,69.091,91.273,0.364,20.0,46.182,71.636,99.636,0.545,31.636,64.182,86.182,100.0,0.182,25.818,45.636,64.0,95.455,0.182,24.0,50.545,75.091,99.818,0.364,21.636,48.364,72.909,99.636,0.727,28.182,49.273,76.545,100.0,0.545,23.455,49.818,69.455,91.273,0.182,24.364,46.727,70.727,99.818,1.091,29.273,76.545,95.091,100.0,0.182,18.545,45.091,72.727,99.636,0.727,26.909,46.364,64.0,95.455,0.545,29.273,61.273,84.909,100.0,0.727,27.091,49.273,74.0,100.0,0.364,25.091,55.636,81.818,99.818,0.182,22.364,42.727,69.091,91.273,0.545,31.636,64.182,86.182,100.0,0.727,26.0,45.636,64.0,95.455,0.182,18.727,46.182,72.727,99.636,Negative_178,0
0.348,0.467,0.185,0.493,0.283,0.224,0.473,0.22,0.307,0.118,0.77,0.112,0.328,0.377,0.295,0.449,0.367,0.185,0.283,0.396,0.321,0.336,0.113,0.199,0.258,0.225,0.128,0.197,0.283,0.137,0.188,0.028,0.18,0.241,0.198,0.203,0.303,0.154,0.158,0.203,0.182,0.257,0.266,22.444,46.215,73.705,99.867,0.398,25.631,49.934,75.166,100.0,0.133,29.482,55.511,76.627,99.203,0.266,22.045,47.012,73.041,100.0,0.531,29.748,54.05,78.619,99.734,0.133,23.772,50.73,72.643,99.336,0.133,25.631,47.145,74.236,99.734,1.062,33.333,59.628,77.822,100.0,0.398,22.178,45.817,71.979,99.867,1.992,24.303,47.676,76.096,98.805,0.133,23.639,49.27,74.104,100.0,0.531,34.661,56.308,77.556,99.734,0.133,28.552,54.183,75.697,100.0,0.266,20.983,41.7,70.518,99.867,0.531,29.349,54.847,78.619,99.734,0.266,20.983,44.223,71.713,99.867,1.328,28.685,52.59,77.822,100.0,0.133,29.482,55.511,76.627,99.203,0.531,29.748,54.05,78.619,99.734,0.266,21.381,42.364,70.518,99.867,0.133,28.154,54.183,75.564,100.0,Negative_164,0
0.388,0.425,0.186,0.479,0.227,0.294,0.411,0.247,0.342,0.086,0.822,0.092,0.301,0.449,0.25,0.507,0.306,0.186,0.227,0.49,0.282,0.328,0.158,0.149,0.24,0.293,0.116,0.202,0.291,0.158,0.153,0.014,0.133,0.238,0.15,0.235,0.304,0.199,0.107,0.235,0.122,0.252,1.13,27.966,51.695,73.588,99.718,0.282,21.751,45.621,72.316,100.0,0.141,22.881,53.107,79.379,99.859,0.282,22.74,48.023,70.056,100.0,0.424,22.175,46.328,71.045,99.576,0.141,29.379,57.203,84.605,99.859,0.141,20.339,46.469,71.045,99.859,0.847,27.119,48.588,74.435,100.0,0.989,27.825,53.672,78.955,99.153,0.424,22.881,49.153,75.565,99.294,0.141,24.859,50.0,74.576,100.0,4.379,23.729,46.186,71.186,96.469,0.141,20.621,45.904,72.175,100.0,0.989,28.39,53.249,76.836,99.718,0.424,22.175,47.458,75.565,99.859,0.989,27.966,52.119,76.412,99.718,0.282,19.35,43.644,69.068,100.0,0.141,22.881,53.107,79.379,99.859,0.424,22.175,46.328,71.045,99.576,0.989,28.107,53.531,78.955,99.859,0.141,20.621,45.621,71.328,100.0,Negative_90,0
0.405,0.398,0.197,0.485,0.314,0.201,0.522,0.197,0.281,0.104,0.763,0.134,0.311,0.351,0.338,0.458,0.344,0.197,0.314,0.395,0.291,0.339,0.151,0.138,0.295,0.215,0.104,0.195,0.336,0.134,0.141,0.023,0.205,0.272,0.201,0.211,0.352,0.178,0.111,0.232,0.168,0.279,0.669,30.1,50.836,74.916,97.659,1.338,20.401,47.492,75.251,99.666,0.334,19.064,46.154,70.234,100.0,1.003,24.415,50.502,72.241,98.662,0.669,30.435,58.528,81.271,100.0,0.334,19.398,41.137,60.87,97.993,0.334,27.09,55.184,79.599,100.0,1.003,17.726,37.124,70.569,98.662,0.669,28.428,47.826,72.241,99.666,4.013,32.107,62.542,82.609,100.0,0.334,21.739,47.492,72.91,99.666,0.669,30.769,53.846,75.92,97.659,0.334,19.732,43.478,70.569,98.662,1.338,23.411,49.164,70.903,97.324,0.669,30.1,56.187,79.933,100.0,0.669,26.756,49.164,72.241,97.659,1.672,22.074,52.843,76.589,99.666,0.334,19.064,46.154,70.234,100.0,0.669,30.435,58.528,81.271,100.0,1.338,23.411,49.164,70.569,97.993,0.334,19.732,43.478,69.565,98.662,Positive_59,1
0.313,0.463,0.224,0.424,0.312,0.263,0.435,0.233,0.332,0.098,0.779,0.123,0.331,0.33,0.339,0.408,0.368,0.224,0.312,0.379,0.308,0.285,0.12,0.203,0.241,0.23,0.161,0.195,0.264,0.156,0.143,0.021,0.173,0.204,0.205,0.219,0.28,0.165,0.158,0.23,0.173,0.23,0.36,22.842,46.673,71.763,99.73,0.45,26.169,51.888,77.878,100.0,0.09,24.281,50.719,74.191,97.842,0.719,19.424,43.615,73.381,99.64,0.18,37.32,58.273,82.824,100.0,0.09,25.809,46.043,68.705,98.651,0.09,24.101,54.317,77.968,100.0,2.788,24.011,51.799,73.291,99.371,0.36,26.888,46.493,71.403,99.73,0.18,25.629,44.245,71.043,97.842,0.09,22.752,46.942,72.482,99.64,0.36,48.201,63.939,88.939,100.0,0.09,20.863,47.572,73.291,99.371,0.719,20.324,41.727,68.885,99.64,0.18,37.32,58.453,82.104,100.0,0.36,20.953,43.795,70.863,99.73,0.45,31.745,57.644,79.856,100.0,0.09,24.281,50.719,74.191,97.842,0.18,37.32,58.273,82.824,100.0,0.719,21.673,44.424,70.324,99.64,0.09,20.234,45.773,73.201,99.371,Positive_44,1
0.339,0.44,0.22,0.459,0.266,0.275,0.349,0.321,0.33,0.083,0.807,0.11,0.385,0.339,0.275,0.431,0.349,0.22,0.266,0.394,0.339,0.398,0.148,0.194,0.185,0.213,0.148,0.231,0.25,0.213,0.12,0.009,0.139,0.324,0.148,0.204,0.343,0.204,0.139,0.25,0.083,0.315,1.835,18.349,51.376,72.477,100.0,2.752,29.358,48.624,77.982,99.083,0.917,23.853,45.872,70.642,98.165,4.587,41.284,64.22,83.486,100.0,2.752,19.266,27.523,65.138,99.083,0.917,14.679,33.945,56.881,97.248,0.917,18.349,51.376,73.394,100.0,3.67,37.615,50.459,82.569,97.248,1.835,16.514,44.037,64.22,99.083,10.092,11.009,32.11,70.642,98.165,0.917,31.193,52.294,78.899,100.0,8.257,17.431,22.936,27.523,66.972,0.917,36.697,53.211,79.817,96.33,1.835,16.514,44.954,72.477,100.0,2.752,19.266,32.11,66.972,99.083,1.835,16.514,43.119,68.807,100.0,2.752,33.028,53.211,79.817,99.083,0.917,23.853,45.872,70.642,98.165,2.752,19.266,27.523,65.138,99.083,1.835,16.514,45.872,72.477,100.0,0.917,38.532,53.211,82.569,96.33,Negative_105,0
0.353,0.381,0.266,0.281,0.381,0.338,0.496,0.194,0.309,0.173,0.691,0.137,0.187,0.388,0.424,0.446,0.288,0.266,0.381,0.453,0.165,0.196,0.167,0.232,0.152,0.225,0.217,0.123,0.254,0.123,0.225,0.065,0.159,0.138,0.116,0.283,0.203,0.217,0.181,0.283,0.087,0.123,2.158,25.18,46.763,74.101,97.122,1.439,28.777,51.799,70.504,100.0,0.719,19.424,43.165,79.137,99.281,1.439,16.547,46.763,66.906,98.561,6.475,25.899,51.079,77.698,100.0,0.719,22.302,46.043,74.82,97.842,0.719,22.302,42.446,66.906,100.0,1.439,14.388,60.432,71.223,95.683,5.036,34.532,52.518,76.259,97.122,6.475,20.863,51.079,66.187,99.281,0.719,25.18,48.921,74.101,98.561,9.353,23.022,35.971,76.978,100.0,0.719,16.547,59.712,70.504,98.561,2.158,25.18,46.043,73.381,97.122,2.878,24.46,50.36,78.417,100.0,2.158,27.338,46.763,74.101,97.122,1.439,26.619,54.676,70.504,100.0,0.719,19.424,43.165,79.137,99.281,6.475,25.899,51.079,77.698,100.0,2.158,24.46,45.324,74.82,97.842,0.719,16.547,53.237,64.748,98.561,Negative_114,0
0.299,0.448,0.253,0.31,0.46,0.23,0.609,0.184,0.207,0.115,0.724,0.161,0.218,0.264,0.517,0.379,0.368,0.253,0.46,0.322,0.218,0.221,0.198,0.128,0.256,0.163,0.116,0.233,0.256,0.093,0.14,0.023,0.163,0.163,0.198,0.209,0.267,0.221,0.105,0.186,0.186,0.174,2.299,13.793,37.931,57.471,97.701,5.747,27.586,54.023,77.011,94.253,1.149,18.391,55.172,74.713,100.0,5.747,32.184,45.977,68.966,97.701,8.046,25.287,59.77,81.609,94.253,1.149,6.897,34.483,55.172,100.0,1.149,32.184,59.77,82.759,100.0,3.448,12.644,39.08,58.621,73.563,2.299,9.195,29.885,42.529,96.552,16.092,18.391,59.77,81.609,90.805,1.149,27.586,48.276,70.115,100.0,20.69,22.989,29.885,72.414,93.103,1.149,17.241,44.828,62.069,87.356,2.299,9.195,37.931,64.368,97.701,8.046,25.287,57.471,81.609,100.0,2.299,20.69,39.08,62.069,97.701,5.747,28.736,56.322,79.31,94.253,1.149,18.391,55.172,74.713,100.0,8.046,25.287,59.77,81.609,94.253,2.299,11.494,41.379,68.966,100.0,1.149,17.241,44.828,62.069,87.356,Negative_214,0
0.327,0.43,0.242,0.404,0.314,0.283,0.489,0.229,0.283,0.126,0.789,0.085,0.265,0.399,0.336,0.466,0.291,0.242,0.314,0.435,0.251,0.302,0.117,0.221,0.275,0.198,0.176,0.221,0.27,0.113,0.212,0.014,0.131,0.171,0.185,0.293,0.279,0.212,0.126,0.297,0.153,0.194,4.933,21.973,48.879,72.646,100.0,1.794,25.561,49.776,70.852,97.758,0.448,26.906,46.637,80.717,99.552,1.345,22.422,47.085,73.991,100.0,0.897,28.7,52.915,74.888,99.552,0.448,21.525,51.57,71.3,98.206,0.448,26.906,50.673,74.439,99.552,1.345,19.283,37.668,72.646,99.103,2.242,21.973,51.121,73.991,100.0,0.897,28.7,60.09,80.717,99.552,0.448,23.318,48.43,72.646,100.0,13.901,25.112,43.946,74.888,91.48,0.448,15.695,37.668,69.955,99.103,2.242,23.767,54.709,75.336,100.0,0.897,28.7,50.673,74.888,99.552,2.242,23.767,51.57,74.888,100.0,1.794,23.318,45.74,67.265,97.758,0.448,26.906,46.637,80.717,99.552,0.897,28.7,52.915,74.888,99.552,2.242,24.215,53.812,73.991,100.0,0.448,15.695,41.256,70.852,99.103,Negative_37,0
0.286,0.408,0.306,0.555,0.171,0.273,0.408,0.359,0.233,0.078,0.869,0.053,0.473,0.302,0.224,0.359,0.335,0.306,0.171,0.388,0.441,0.291,0.168,0.234,0.172,0.303,0.107,0.303,0.164,0.197,0.123,0.008,0.09,0.311,0.201,0.139,0.299,0.217,0.184,0.123,0.156,0.348,0.816,23.673,48.98,69.388,97.959,1.224,22.041,44.898,67.347,99.592,0.408,26.531,62.041,86.531,100.0,0.816,22.857,47.347,71.429,99.592,3.265,35.918,60.408,90.204,99.184,0.408,21.633,43.265,75.102,100.0,0.408,29.796,53.061,81.224,100.0,2.449,23.265,48.163,72.653,99.592,4.898,24.082,44.49,65.714,97.959,11.429,58.367,86.939,92.653,99.184,0.408,23.265,46.122,71.429,100.0,13.469,35.918,51.02,64.49,95.102,0.408,21.633,46.122,71.429,99.592,0.816,24.49,47.347,71.02,97.959,3.265,30.204,60.0,90.612,100.0,0.816,23.673,44.49,71.02,97.959,1.224,22.041,46.531,66.531,99.592,0.408,26.531,62.041,86.531,100.0,3.265,35.918,60.408,90.204,99.184,0.816,24.082,44.49,71.837,100.0,0.408,22.041,46.531,71.429,99.592,Negative_209,0
