id,D,C,I,K,P,_SolventAccessibilityC3,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,PAAC4,PAAC5,PAAC10,PAAC15,label
Negative_126,6.299,1.312,1.575,4.462,13.911,0.304,0.163,0.428,0.504,0.315,0.446,0.263,0.258,0.155,0.095,0.15,3.306,0.689,0.827,7.301,0
Negative_5,6.458,2.083,4.792,7.917,3.333,0.237,0.135,0.229,0.315,0.406,0.296,0.29,0.203,0.299,0.207,0.24,3.182,1.026,2.361,1.642,0
Negative_195,2.857,7.755,2.041,5.714,6.531,0.2,0.106,0.298,0.404,0.351,0.343,0.299,0.168,0.225,0.18,0.193,1.402,3.805,1.001,3.205,0
Positive_155,5.263,1.974,6.579,6.579,3.947,0.204,0.138,0.27,0.342,0.382,0.322,0.318,0.205,0.272,0.219,0.225,2.526,0.948,3.158,1.895,1
Positive_49,1.596,1.064,9.043,12.234,0.532,0.213,0.122,0.197,0.223,0.479,0.282,0.358,0.182,0.342,0.262,0.289,0.823,0.549,4.663,0.274,1
Positive_221,4.971,3.633,6.119,6.119,4.971,0.272,0.122,0.312,0.398,0.358,0.369,0.266,0.192,0.243,0.188,0.205,2.6,1.9,3.2,2.6,1
Negative_119,4.204,3.097,1.77,3.319,9.956,0.294,0.088,0.381,0.454,0.354,0.425,0.217,0.135,0.188,0.129,0.153,2.253,1.66,0.949,5.336,0
Negative_73,5.323,0.76,4.183,5.323,9.506,0.259,0.099,0.422,0.483,0.304,0.449,0.305,0.16,0.221,0.153,0.195,2.688,0.384,2.112,4.801,0
Positive_135,6.397,1.347,6.902,6.734,5.387,0.195,0.133,0.382,0.46,0.352,0.424,0.3,0.224,0.211,0.137,0.18,3.335,0.702,3.598,2.808,1
Positive_192,7.121,0.619,6.811,8.359,3.87,0.22,0.147,0.325,0.402,0.376,0.359,0.299,0.198,0.231,0.157,0.214,3.693,0.321,3.532,2.007,1
Positive_35,3.125,0.0,5.469,10.938,10.156,0.32,0.117,0.227,0.258,0.352,0.32,0.181,0.157,0.268,0.276,0.205,1.533,0.0,2.683,4.982,1
Negative_9,6.236,2.309,5.774,7.39,6.467,0.252,0.134,0.303,0.388,0.351,0.36,0.312,0.201,0.245,0.178,0.213,3.135,1.161,2.903,3.251,0
Positive_167,5.381,0.406,4.67,3.553,4.365,0.289,0.091,0.393,0.451,0.359,0.437,0.244,0.162,0.189,0.144,0.161,2.922,0.22,2.536,2.37,1
Negative_187,1.37,2.74,3.196,0.457,4.11,0.26,0.041,0.452,0.493,0.37,0.489,0.124,0.083,0.092,0.083,0.078,0.801,1.602,1.869,2.403,0
Negative_14,4.959,1.157,2.81,2.314,8.264,0.286,0.179,0.392,0.453,0.407,0.426,0.202,0.207,0.166,0.104,0.142,2.806,0.655,1.59,4.676,0
Positive_158,7.194,0.0,3.957,2.158,4.676,0.259,0.129,0.392,0.464,0.309,0.464,0.235,0.206,0.191,0.112,0.144,3.607,0.0,1.984,2.345,1
Negative_176,5.357,12.5,3.571,0.893,6.25,0.312,0.089,0.348,0.527,0.259,0.42,0.18,0.117,0.234,0.126,0.18,2.961,6.908,1.974,3.454,0
Negative_137,2.41,6.024,2.41,9.639,4.819,0.217,0.06,0.289,0.373,0.386,0.325,0.268,0.122,0.244,0.159,0.22,1.369,3.423,1.369,2.738,0
Negative_67,1.807,0.904,0.0,8.434,10.542,0.226,0.178,0.63,0.657,0.229,0.633,0.278,0.254,0.051,0.051,0.048,1.08,0.54,0.0,6.302,0
Negative_19,3.415,1.951,1.707,2.439,8.537,0.276,0.093,0.346,0.4,0.38,0.378,0.232,0.137,0.186,0.169,0.164,1.767,1.01,0.883,4.418,0
Negative_33,3.988,3.374,3.374,3.067,6.135,0.276,0.095,0.294,0.368,0.383,0.344,0.277,0.154,0.277,0.178,0.234,1.965,1.662,1.662,3.022,0
Positive_105,7.741,0.628,5.858,4.812,6.695,0.285,0.138,0.337,0.421,0.32,0.416,0.26,0.224,0.231,0.18,0.178,3.92,0.318,2.966,3.39,1
Negative_146,0.629,3.145,3.774,2.516,6.918,0.289,0.038,0.434,0.472,0.289,0.472,0.12,0.07,0.101,0.108,0.089,0.345,1.727,2.072,3.798,0
Positive_54,6.692,0.76,10.19,8.137,4.03,0.261,0.12,0.259,0.333,0.414,0.329,0.283,0.18,0.291,0.226,0.236,3.458,0.393,5.266,2.083,1
Negative_12,3.955,3.39,3.672,7.345,8.192,0.297,0.116,0.311,0.384,0.353,0.356,0.224,0.147,0.224,0.167,0.181,2.004,1.718,1.86,4.151,0
Positive_198,5.275,0.917,4.817,4.587,6.193,0.291,0.103,0.319,0.381,0.344,0.394,0.297,0.159,0.26,0.189,0.223,2.623,0.456,2.395,3.08,1
Negative_105,6.422,2.752,10.092,3.67,6.422,0.275,0.11,0.339,0.431,0.349,0.394,0.185,0.139,0.148,0.139,0.083,3.489,1.495,5.483,3.489,0
Positive_18,3.704,0.0,6.878,5.291,6.349,0.254,0.111,0.307,0.344,0.333,0.392,0.293,0.186,0.239,0.223,0.191,1.712,0.0,3.179,2.935,1
Positive_127,4.396,7.692,3.297,20.879,4.396,0.176,0.11,0.308,0.429,0.22,0.374,0.333,0.156,0.233,0.156,0.2,2.312,4.046,1.734,2.312,1
Negative_92,4.982,1.845,0.923,2.214,12.546,0.292,0.111,0.41,0.478,0.341,0.448,0.277,0.172,0.211,0.131,0.185,2.527,0.936,0.468,6.364,0
Positive_206,6.878,0.0,6.349,0.529,6.878,0.275,0.132,0.397,0.466,0.317,0.46,0.239,0.223,0.165,0.133,0.128,3.346,0.0,3.089,3.346,1
Negative_190,3.846,5.769,3.846,6.25,6.25,0.3,0.12,0.32,0.416,0.305,0.394,0.239,0.195,0.219,0.166,0.186,1.97,2.955,1.97,3.201,0
Negative_155,1.991,7.965,0.885,4.425,5.752,0.292,0.071,0.378,0.478,0.21,0.469,0.239,0.118,0.162,0.129,0.129,0.967,3.867,0.43,2.793,0
Negative_149,2.115,6.949,3.323,12.387,2.417,0.299,0.109,0.275,0.366,0.29,0.384,0.252,0.145,0.242,0.227,0.173,1.087,3.573,1.708,1.243,0
Positive_89,4.505,2.402,2.703,6.306,3.604,0.261,0.132,0.318,0.387,0.321,0.387,0.22,0.205,0.208,0.187,0.166,2.245,1.197,1.347,1.796,1
Positive_220,4.204,1.327,5.088,6.637,5.31,0.228,0.126,0.325,0.381,0.383,0.381,0.29,0.175,0.215,0.171,0.184,2.098,0.662,2.539,2.65,1
Positive_84,4.18,0.965,8.039,7.074,5.466,0.238,0.119,0.325,0.376,0.392,0.376,0.306,0.19,0.258,0.174,0.219,2.213,0.511,4.257,2.894,1
